smiles,solvent,abs_peakwavs_max,abs_bandwidth,abs_molar_ext_coeff,emi_peakwavs_max,emi_bandwidth,quantum_yield,log_lifetime
CCCCCCCCCCCCCCCCCCOc1ccc([B-]23NC(c4ccccc4)=Nc4cccc([n+]42)N=C(c2ccccc2)N3)cc1,ClCCl,431.0,63.2,4.322219295,511.0,75.1,0.14,0.3424226808222063
C#CCn1c2ccccc2c2cc(/C=C/C3=[N+]4C(=C(c5ccc(I)cc5)c5c(C)c(Cl)c(/C=C/c6ccc7c(c6)c6ccccc6n7CC#C)n5[B-]4(F)F)C(C)=C3Cl)ccc21,CC#N,694.0,65.7,4.836324116,731.0,63.9,0.5,0.5954962218255742
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n1c26)c3c45,Cc1ccccc1,453.0,75.3,4.49,514.0,68.1,0.66,0.3979400086720376
COc1cc2c(cc1-c1ccncc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccncc2)cc1C4)C(=O)N(CCC(C)C)C3=O,C1CCOC1,407.0,80.4,4.38,456.0,61.5,0.42,0.35024801833416286
Cc1ccc(C2=Cc3ccc4ccccc4[n+]3[B-](F)(F)O2)cc1,ClC(Cl)Cl,432.0,56.5,4.515873844,443.0,53.5,0.75,0.2528530309798932
c1ccc(-p2c3ccccc3c3sc4ccccc4c32)cc1,ClCCl,317.0,54.9,4.45,421.0,142.6,0.24,0.5526682161121932
CCCCOc1ccc(-c2cc3c(o2)c(-c2ccc(OCCCC)cc2)c2n3[B-](F)(F)[N+]3=Cc4c(-c5ccc(OCCCC)cc5)c5oc(-c6ccc(OCCCC)cc6)cc5n4[B-](F)(F)[N+]3=C2)cc1,ClCCl,622.0,89.3,5.083860801,661.0,37.8,0.4,0.4132997640812518
CCCCn1c2ccc(-c3cccs3)cc2c2c1c1c3ccc(-c4cccs4)cc3n(CCCC)c1c1c3ccc(-c4cccs4)cc3n(CCCC)c21,C1CCOC1,337.0,76.6,5.079181246,424.0,70.8,0.37,0.6232492903979004
COc1ccc(C2=c3sc(-c4ccc(OC)cc4)c(-c4ccc(OC)cc4)c3=[N+]3C2=Nc2c(-c4ccc(OC)cc4)c4sc(-c5ccc(OC)cc5)c(-c5ccc(OC)cc5)c4n2[B-]3(F)F)cc1,ClC(Cl)Cl,784.0,57.0,5.260071388,816.0,40.0,0.04,0.1846914308175988
C(#Cc1ccccc1)C(C#Cc1ccccc1)=Cc1ccc2cc(C=C(C#Cc3ccccc3)C#Cc3ccccc3)ccc2c1,ClC(Cl)Cl,418.0,81.2,4.785329835,473.0,60.1,0.49,0.04139268515822507
c1ccc(-c2c3ccccc3cc3ccccc23)cc1,C1CCOC1,386.0,46.6,3.959041392,394.0,49.0,0.69,0.8512583487190752
O=C1c2ccccc2-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c3cccc1c23,CO,407.0,78.0,4.079181246,521.0,81.5,1.0,0.9637878273455552
Cn1c2ccc(S(=O)(=O)Cl)cc2c(=O)c2cc(S(=O)(=O)Cl)ccc21,CS(C)=O,406.0,40.5,3.939019776,424.0,46.1,0.7,1.024895960107485
C[Si](C)(C)C#Cc1ccc2c3cccc4cccc(c5cccc1c52)c43,C1CCCCC1,459.0,41.3,4.584331224,465.4722961,46.1,0.88,0.6232492903979004
NS(=O)(=O)c1ccc(N2N=C(c3ccc(O)cc3)CC2c2ccc([N+](=O)[O-])cc2)cc1,CC#N,352.0,59.2,5.5289167,419.0,68.5,0.01,0.3439990690571613
COc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2ccccc2)cc1,ClCCl,505.0,77.6,4.89337333,554.0,77.1,0.41,0.13033376849500614
CCOc1cc2c(cc1/C=C/C(=C(C#N)C#N)c1ccccc1)c1ccccc1n2CC,CS(C)=O,476.0,87.2,4.451095312,575.0,80.3,0.139,0.850033257689769
NS(=O)(=O)c1ccc(N2N=C(c3ccc(O)cc3)CC2c2ccc(Br)cc2)cc1,O,359.0,54.8,5.307496038,449.0,78.6,0.56,0.48756256025637823
CCN(CC)c1ccc2cc(/C(Cl)=C/C=C/C(=C(C#N)C#N)c3ccc4c(c3)c3ccccc3n4CC)c(=O)oc2c1,CN(C)C=O,532.0,138.0,4.58546073,732.0,115.5,0.042,-0.06550154875643228
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,506.0,100.0,4.763427994,591.0,89.2,0.78,0.414973347970818
CCCCCn1c2ccc(S(=O)(=O)O)cc2c(=O)c2cc(S(=O)(=O)O)ccc21,CS(C)=O,406.0,37.9,3.86923172,421.0,43.9,0.7,1.0073209529227445
CCN(CC)c1ccc2cc(/C=C/C(=C(C#N)C#N)c3ccc4c(c3)c3ccccc3n4CC)c(=O)oc2c1,ClCCl,522.0,102.0,4.58546073,604.0,96.0,0.146,0.5211380837040362
CCOc1cc2c(cc1/C=C/C1=CC(=C(C#N)C#N)CC(C)(C)C1)c1ccccc1n2CC,ClC(Cl)Cl,480.0,99.0,4.634698895,608.0,85.3,0.017,0.6404814369704218
COc1ccc2nc3c(nc2c1)c(-c1ccccc1)nn3C,C1CCOC1,435.0,57.4,3.959041392,495.0,66.3,0.34,1.0948203803547998
CC(=O)Nc1ccccc1C(=O)OC1CC(C)CCC1C(C)C,CCO,310.0,36.1,3.73239376,370.0,59.1,0.13,0.5563025007672873
C#CCn1c2ccccc2c2cc(/C=C/C3=[N+]4C(=C(c5ccc(I)cc5)c5c(C)cc(/C=C/c6ccc7c(c6)c6ccccc6n7CC#C)n5[B-]4(F)F)C(C)=C3)ccc21,CC#N,665.0,43.4,4.998259338,688.0,47.2,0.96,0.617000341120899
N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)o1,ClC(Cl)Cl,509.0,83.2,4.562673449,618.0,84.5,0.19,0.436162647040756
COC(=O)c1cc(=O)n(C)c2cc(-c3cc4c5c(c3)CCCN5CCC4)sc12,ClCCl,454.0,87.6,4.494154594,605.0,99.6,0.25,0.3521825181113625
COc1cc2c(cc1-c1ccccc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccccc2)cc1C4)C(=O)N(CCC(C)C)C3=O,CC#N,406.0,84.4,4.38,497.0,76.6,0.46,0.8014037100173551
Cc1cc(C)c(B(c2cc3c4c(c(B(c5c(C)cc(C)cc5C)c5c(C)cc(C)cc5C)cc5c4c2CCC5)CCC3)c2c(C)cc(C)cc2C)c(C)c1,CCCCCC,420.0,53.1,3.857332496,456.0,54.2,0.9,1.1643528557844371
CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2c1c(=O)oc1cc(N(CC)CC)ccc12,CCO,595.0,58.5,4.806179974,642.0,61.4,0.2,0.32633586092875144
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/Nc1ccccc1)CCC3,ClC(Cl)Cl,608.0,65.9,4.806179974,644.0,69.1,0.35,0.49968708261840383
N#C[Se]CCCCCOc1ccc2ccc(=O)oc2c1,O,324.0,47.6,3.977586438,397.0,60.9,0.497,0.24303804868629442
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc2c(c1)C(=O)c1ccc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)cc1C2=O,Cc1ccccc1,463.0,82.6,4.002881858,602.0,92.4,0.15,0.8750612633917001
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n(c26)P1(=O)c1ccccc1)c3c45,ClC(Cl)Cl,431.0,55.8,4.58,458.0,59.4,0.56,0.20411998265592482
COc1ccc(-c2cc3c(s2)c(C(C)=O)cc(=O)n3Cc2ccccc2)cc1,ClCCl,426.0,73.2,4.579783597,512.0,70.5,0.99,0.287801729930226
CCC12C(=C3C(=C4c5ccc(-c6ccc(CO)cc6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(CO)cc3)cc1S2(=O)=O,C1COCCO1,463.0,89.9,4.698970004,538.5654886,103.4,0.88,0.4623979978989561
COc1ccc(C2=CC(c3ccc4cc(N(C)C)ccc4c3)=[O+][B-](F)(F)O2)cc1,CS(C)=O,512.0,90.9,4.737192643,698.0,139.6,0.007,-0.2676062401770315
CSc1sc(C(=O)c2ccccc2)c2nn[nH]c(=O)c12,CS(C)=O,405.5,60.5,4.204119983,497.0,96.0,0.0056,-0.8860566476931632
CCN(CC)c1ccc2cc(/C(Cl)=C/C=C/C(=C(C#N)C#N)c3ccc(N(c4ccccc4)c4ccccc4)cc3)c(=O)oc2c1,CCOC(C)=O,504.0,106.0,4.653212514,657.0,123.4,0.028,0.38381536598043126
CN(C)c1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,425.0,86.5,4.75,555.0,100.5,0.999,0.250420002308894
CCOc1cc2c(cc1/C=C/C1=CC(=C(C#N)C#N)CC(C)(C)C1)c1ccccc1n2CC,CCO,480.0,107.0,4.599926718,632.0,82.4,0.025,0.631443769013172
CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2c1c(=O)oc1cc3c(cc12)CCCN3C,ClC(Cl)Cl,608.0,45.2,5.033423755,647.0,53.2,0.33,0.6095944092252201
COc1ccc(-c2cc3c(s2)c(C(C)=O)cc(=O)n3C)cc1,ClCCl,418.0,72.1,4.123851641,510.0,82.5,0.98,0.17897694729316943
CC1=[N+]2C(=C(Oc3ccccc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(C)=O,577.0,94.9,4.769377326,665.0,127.3,0.16,-0.03621217265444471
CCOc1cc2c(cc1/C=C/C1=CC(=C(C#N)C#N)CC(C)(C)C1)c1ccccc1n2CC,CN(C)C=O,487.0,108.4,4.640014095,635.0,78.9,0.035,0.6031443726201823
N#C[Se]CCCCCOc1ccc2ccc(=O)oc2c1,CO,322.0,52.4,3.998608029,391.0,61.7,0.053,-0.3565473235138126
NS(=O)(=O)c1ccc(N2N=C(c3ccc(O)cc3)CC2c2ccc(Br)cc2)cc1,CS(C)=O,364.0,61.0,5.563481085,424.0,64.0,0.69,0.3018977171952081
C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12,CC#N,438.0,98.2,4.35,491.0,31.6,0.1,0.0
CCCCN(CCCC)c1ccc2nc3c4ccccc4c(=O)c(-c4ccccc4)c-3oc2c1,ClCCl,549.0,87.7,4.6599162,625.0,76.3,0.54,0.5440680443502757
CCOc1cc2c(cc1/C=C/C(=C(C#N)C#N)c1ccccc1)c1ccccc1n2CC,CCOC(C)=O,458.0,75.1,4.585922979,537.0,77.2,0.011,0.7151673578484579
CC(C)(C)c1ccc(C(C)(C)C)c(N2C(=O)c3cccc4c(-c5ccc(-c6ccccc6)s5)ccc(c34)C2=O)c1,Cc1ccccc1,398.0,70.2,4.184691431,493.0,81.1,0.06,-0.6777807052660807
CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2c1c(=O)oc1cc(N(CC)CC)ccc12,O,596.0,65.7,4.854913022,652.0,70.1,0.01,-0.5686362358410126
COc1cc2c(cc1/C=C/C1=CC(=C(C#N)C#N)CC(C)(C)C1)c1ccccc1n2C,CN(C)C=O,484.0,67.8,4.267124775,632.0,81.5,0.038,0.9609461957338314
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/C=C/c2ccccc2)=CC(/C=C/C=C/c2ccccc2)=[O+]1,ClCCl,474.0,83.6,4.7,545.0,73.9,0.45,0.2648178230095365
NS(=O)(=O)c1ccc(N2N=C(c3ccc(O)cc3)CC2c2ccc(F)cc2)cc1,CO,356.0,56.1,5.593286067,430.0,78.6,0.36,0.21590181320403157
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n1c26)c3c45,CO,444.0,85.5,4.63,636.0,128.4,0.004,-0.12493873660829993
COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(C#N)C#N,Cc1ccccc1,443.0,61.0,4.672097858,525.0,78.1,0.01,-1.5228787452803376
CCOC(=O)c1sc(SC)c2c(=O)[nH]nnc12,CO,384.5,56.5,3.826074803,499.0,111.4,0.029,0.20411998265592482
CCN(CC)c1ccc2cc(/C(Cl)=C/C=C/C(=C(C#N)C#N)c3ccc4c(c3)c3ccccc3n4CC)c(=O)oc2c1,CC(C)=O,518.0,128.0,4.596597096,704.0,118.5,0.019,-0.3279021420642826
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,C1CCCCC1,435.0,38.3,4.290034611,438.3950112,37.5,0.98,0.6720978579357175
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,353.0,90.7,4.17,473.0,42.2,0.38,0.3979400086720376
O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,533.0,112.4,4.008600172,615.0,44.2,0.07,0.5509617522981761
CSc1sc(C(=O)c2ccccc2)c2nn[nH]c(=O)c12,C1CCOC1,396.5,59.7,3.875061263,482.0,80.7,0.016,-0.4814860601221125
C#CCn1c2ccccc2c2cc(/C=C/C3=[N+]4C(=C(c5ccc(I)cc5)c5c(C)c(Cl)c(/C=C/c6ccc7c(c6)c6ccccc6n7CC#C)n5[B-]4(F)F)C(C)=C3Cl)ccc21,CS(C)=O,705.0,81.3,4.836956737,749.0,68.9,0.32,0.4842998393467858
F[B-]1(F)OC(c2cccc(Br)c2)=Cc2c3ccccc3cc[n+]21,ClC(Cl)Cl,399.5,59.4,4.484299839,465.0,78.4,0.033,-0.7614521123186722
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccc(O)cc1)c64)C(=O)N(c1ccc(O)cc1)C5=O,CN1CCCC1=O,525.0,51.6,4.825426118,541.0,58.2,0.01,-0.6989700043360187
NS(=O)(=O)c1ccc(N2N=C(c3ccc(O)cc3)CC2c2ccc(Cl)cc2)cc1,CN(C)C=O,361.0,64.0,5.496929648,422.0,65.6,0.71,0.371990911464915
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n1c26)c3c45,CC(C)=O,435.0,86.6,4.62,635.0,121.5,0.11,0.3372595397502757
c1ccc(N2c3ccc4ccccc4c3-c3c4ccccc4cn[n+]3[B-]2(c2ccccc2)c2ccccc2)cc1,Cc1ccccc1,524.0,86.4,3.462397998,657.0,136.0,0.05,0.4082399653118496
CCC12C(=C3C(=C4c5ccc(-c6ccccc6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccccc3)cc1S2(=O)=O,C1COCCO1,456.0,81.0,4.662757832,561.3832853,93.4,0.87,0.47712125471966244
CC(C)(C)c1ccc(C(C)(C)C)c(N2C(=O)c3cccc4c(-c5ccc(-c6ccc([N+](=O)[O-])cc6)s5)ccc(c34)C2=O)c1,Cc1ccccc1,392.0,82.3,4.469822016,479.0,76.7,0.07,-0.6575773191777937
COc1cc2c(cc1-c1ccc(F)cc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccc(F)cc2)cc1C4)C(=O)N(CCC(C)C)C3=O,C1CCOC1,405.0,84.9,4.47,468.0,61.3,0.52,0.5763413502057928
COc1cc(N(c2ccccc2)c2ccc(C=C(C#N)C#N)c(OC)c2)ccc1C=C(C#N)C#N,ClC(Cl)Cl,480.0,51.0,4.86332286,524.0,56.8,0.076,-0.638272163982407
O=S1(=O)c2ccccc2C2(c3cc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc3-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc32)c2ccccc21,ClCCl,380.0,55.5,4.941113727,460.0,75.4,0.83,0.17609125905568124
c1ccc(C2=C3c4ccccc4C4=[N+]3[B-]3(Oc5ccccc54)Oc4ccccc4-c4c5ccccc5c2n43)cc1,ClCCl,711.0,30.4,4.96,733.0,36.4,0.58,0.8450980400142568
COc1ccc(C2=C(C)C3=C(c4c(-c5ccccn5)nc5ccccn45)c4c(C)c(-c5ccc(OC)cc5)c(C)n4[B-](F)(F)[N+]3=C2C)cc1,ClCCl,555.0,53.2,4.7,608.0,53.3,0.4164,0.5440680443502757
F[B-]1(F)OC(c2ccccc2)=Cc2cc3[n+](c[n+]21)[B-](F)(F)OC(c1ccccc1)=C3,ClCCl,475.0,51.7,5.030599722,490.0,37.0,0.55,0.146128035678238
CCOC(=O)c1sc(SC)c2c(=O)[nH]nnc12,CC#N,381.0,56.5,3.380211242,478.0,89.9,0.018,-0.1366771398795441
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n(c26)P1(=O)c1ccccc1)c3c45,CC(C)=O,429.0,67.2,4.5,560.0,100.4,0.52,0.6232492903979004
O=C1c2ccc(N(c3ccccc3)c3ccccc3)cc2C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc21,Cc1ccccc1,449.0,75.5,4.309051494,601.0,91.6,0.2,0.724275869600789
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n1c26)c3c45,CO,444.0,72.4,4.5,524.0,85.2,0.65,0.5797835966168101
N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1,ClC(Cl)Cl,506.0,90.7,4.644694561,634.0,92.6,0.18,0.3979400086720376
COC(=O)c1cc(=O)n(C)c2cc(-c3ccccc3)sc12,ClCCl,394.0,62.2,3.880813592,462.0,67.9,0.63,0.367355921026019
CN(C)c1ccc(/C=C/c2nc3c(ccc4ccccc43)s2)cc1,CC#N,409.0,70.8,4.574031268,524.0,78.5,0.008,-1.0
CCCC1(CCC)c2cc(C=C(C#Cc3ccccc3)C#Cc3ccccc3)ccc2-c2ccc(C=C(C#Cc3ccccc3)C#Cc3ccccc3)cc21,ClC(Cl)Cl,422.0,79.0,4.72427587,473.0,57.5,0.31,-0.22184874961635637
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)cc3)=[O+][B-](OC(C)=O)(OC(C)=O)O2)cc1,CS(C)=O,468.0,86.0,4.74,548.0,72.1,0.83,0.35410843914740087
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(-c2ccc3c(c2)C(=O)c2ccc(-c4ccc(-n5c6ccc(C(C)(C)C)cc6c6cc(C(C)(C)C)ccc65)cc4)cc2C3=O)cc1,Cc1ccccc1,426.0,82.9,3.999421326,558.0,94.2,0.6,1.100370545117563
COc1cc(OC)c2c3c([nH]c2c1)C(=O)CCC3,CO,326.0,55.3,5.200382945,466.0,83.0,0.08,-0.06550154875643228
F[B-]1(F)OC(c2ccc(Br)cc2)=Cc2c3ccccc3cc[n+]21,ClC(Cl)Cl,403.0,60.0,4.579783597,466.4,77.8,0.049,-0.6343248595440822
C(=C/c1cc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,Cc1ccccc1,345.0,68.6,4.990338855,401.0,43.2,0.59,0.5327543789924978
COc1ccc(C2=c3sc(-c4ccc(OC)cc4)cc3=[N+]3C2=Nc2c(-c4ccc(OC)cc4)c4sc(-c5ccc(OC)cc5)cc4n2[B-]3(F)F)cc1,ClC(Cl)Cl,788.0,45.0,5.230448921,814.0,40.0,0.1,0.22788670461367355
COc1ccc2nc3c(nc2c1)c(-c1ccccc1)nn3C,CC#N,434.0,55.9,3.793790385,507.0,80.9,0.35,1.2234959409623944
CCN(CC)c1ccc2cc3c([o+]c2c1)/C(=C/Nc1ccccc1)CCC3,ClCCl,615.0,59.7,4.84509804,647.0,61.1,0.31,0.6963563887333322
c1ccc(-c2nn(-c3ccccn3)c3nc4ccccc4cc23)cc1,CC#N,383.0,48.1,3.908485019,441.0,62.1,0.41,0.9595183769729982
C(=C/c1nc2ccccc2o1)\c1ccccc1,CO,320.0,58.6,1.338456494,380.0,69.0,0.006,-0.5086383061657274
CC[n+]1nc2cc3c4c(c2c2ccccc21)CCCN4CCC3,O,493.0,80.9,4.716837723,570.0,81.8,0.25,0.5563025007672873
COc1ccc(C2=Cc3c4ccccc4cc[n+]3[B-](F)(F)O2)cc1,ClC(Cl)Cl,410.5,61.0,4.588831726,478.2,68.2,0.313,-0.018770512579999232
Cc1ccc(-c2cc(C)[o+]c(C)c2)cc1,ClCCl,365.0,37.5,4.477121255,417.0,69.9,0.27,0.5185139398778874
Nc1ccc2c(ccc3[n+]2[B-](F)(F)n2c-3cc3c4ccccc4c4ccccc4c32)c1,ClCCl,482.0,76.3,4.16,577.0,88.6,0.81,0.4712917110589386
COc1cc(N(c2ccccc2)c2ccc(C=C(C#N)C#N)c(OC)c2)ccc1C=C(C#N)C#N,CCOC(C)=O,468.0,57.0,4.838849091,532.0,69.6,0.085,-0.6575773191777937
CN(C)c1ccc(C2=Nc3scc(-c4ccc(N(C)C)cc4)[n+]3[B-](F)(F)O2)cc1,C1CCOC1,406.0,61.7,4.679427897,616.0,178.2,0.01,-0.6777807052660807
CSc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccccc4C#N)cc3C#N)cc2C#N)cc1,ClC(Cl)Cl,375.0,82.7,4.89,455.0,78.3,0.972,0.11058971029924897
COc1ccc(C2=CC(c3ccc4cc(N(C)C)ccc4c3)=[O+][B-](F)(F)O2)cc1,ClC(Cl)Cl,494.0,78.2,4.769377326,596.0,89.6,0.99,0.5490032620257879
CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2c1c(=O)oc1cc(N(CC)CC)ccc12,ClC(Cl)Cl,601.0,43.1,4.995635195,640.0,53.2,0.49,0.6344772701607315
COc1cc(OC)cc(C2=[O+][B-](F)(F)OC(c3ccc4cc(OC)ccc4c3)=C2)c1,ClCCl,427.0,64.3,4.698970004,520.0,94.1,0.95,0.6354837468149122
c1cc(-c2c3ccccc3cc3ccccc23)cc(-c2c3ccccc3cc3ccccc23)c1,C1CCOC1,387.0,47.1,4.230448921,397.0,43.6,0.71,0.8195439355418687
NS(=O)(=O)c1ccc(N2N=C(c3ccc(O)cc3)CC2c2ccc(F)cc2)cc1,CC(C)O,357.0,55.6,5.680335513,423.0,74.8,0.52,0.2968844755385471
CCCCCn1c2ccccc2c(=O)c2ccccc21,CS(C)=O,403.0,35.8,4.052693942,414.0,38.7,0.68,0.9084850188786497
COC(=O)c1cc(=O)n(C)c2cc(-c3cc(OC)c(OC)c(OC)c3)sc12,ClCCl,400.0,64.3,4.392696953,485.0,82.5,0.53,0.13353890837021754
COC(=O)C(NC(=O)OC(C)(C)C)c1ccc2oc(-c3ccc(OC(=O)c4ccccc4)cc3O)nc2c1,CO,334.0,41.5,4.53,405.0,67.1,0.003,-1.5686362358410126
c1ccc(-c2nn(-c3ccccc3)c3nc4ccc(N(c5ccccc5)c5ccccc5)cc4cc23)cc1,CC#N,447.0272687,69.8,3.866877814,570.7762557,129.2,0.46,1.3502480183341627
CCCC(=O)c1c2c(c(C(=O)CCC)c3c1OC(CC(=O)OC)(C(=O)O)O3)OCO2,CC#N,424.0,81.5,3.397940009,542.0,96.0,0.25,1.3404441148401183
[NH3+]C(Cc1ccc(O)cc1)C(=O)[O-],O,274.0,23.5,3.08170727,304.0,31.1,0.13,0.5145477526602861
C(#Cc1ccccc1)C(C#Cc1ccccc1)=Cc1ccc(C=C(C#Cc2ccccc2)C#Cc2ccccc2)s1,ClC(Cl)Cl,468.0,94.1,4.591064607,528.0,93.7,0.08,-0.3979400086720376
COc1ccccc1C1=[N+]2C(=C(c3ccccc3)c3c4c(c(-c5ccccc5OC)n3[B-]2(F)F)C2C=CC4CC2)C2=C1C1C=CC2CC1,ClCCl,556.0,42.1,4.79,587.0,39.9,0.87,0.7075701760979364
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/c1ccc(N2CCCC2)s1)CCC3,ClCCl,738.0,40.9,5.193983985,770.0,63.7,0.04,-0.7958800173440752
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2cccc3ccccc23)=CC(/C=C/c2cccc3ccccc23)=[O+]1,ClCCl,472.0,85.8,4.65,554.0,74.2,0.64,0.7774268223893114
CC[N+](CC)=c1ccc2c(-c3ccccc3C(=O)O)c3c(=O)oc4c5c6c(cc4c3oc-2c1)CCCN6CCC5,ClC(Cl)Cl,623.0,57.7,4.875061263,664.0,56.4,0.09,0.4578818967339924
CSc1sc(C(=O)c2ccccc2)c2nn[nH]c(=O)c12,CCO,400.0,59.3,4.079181246,489.0,91.1,0.0088,-0.5528419686577808
