smiles,solvent,peakwavs_max,source
COC(=O)c1ccn2c(NC3CCCCC3)c(/C=C/c3ccco3)nc2c1,CS(C)=O,413.0,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,414.0,chemfluor
COc1ccc(/C=C/c2nc3cnccn3c2NC2CCCCC2)cc1,CS(C)=O,365.0,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(/C=C/c3ccc(N(C)C)cc3)nc2c1,CS(C)=O,434.0,chemfluor
CN(C)c1ccc(/C=C/c2nc3cnccn3c2NC2CCCCC2)cc1,CS(C)=O,407.0,chemfluor
COC(=O)c1ccn2c(Nc3ccc(F)cc3)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,400.0,chemfluor
COC(=O)c1ccn2c(NCCN3CCOCC3)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,384.0,chemfluor
COC(=O)c1ccn2c(NC(C)(C)C)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,416.0,chemfluor
COC(=O)c1ccn2c(NCC(=O)OC(C)(C)C)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,410.0,chemfluor
COC(=O)CNc1c(/C=C/c2ccc(OC)cc2)nc2cc(C(=O)OC)ccn12,CS(C)=O,411.0,chemfluor
COC(=O)c1ccn2c(NCc3ccccc3)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,419.0,chemfluor
COC(=O)c1ccn2c(NC(C)C)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,413.0,chemfluor
CCCN(CCC)C(=O)CNc1c(-c2ccc(C)o2)nc2cc(C(=O)OC)ccn12,CS(C)=O,391.0,chemfluor
CCCN(CCC)C(=O)CNc1c(/C=C/c2ccc(OC)cc2)nc2cc(C(=O)OC)ccn12,CS(C)=O,413.0,chemfluor
CCCN(CCC)C(=O)CNc1c(-c2ccc(Cl)cc2)nc2cc(C(=O)OC)ccn12,CS(C)=O,385.0,chemfluor
CCCN(CCC)C(=O)CNc1c(-c2ccc(C)cc2O)nc2cc(C(=O)OC)ccn12,CS(C)=O,390.0,chemfluor
CCCN(CCC)C(=O)CNc1c(-c2ccc(Cl)cc2)nc2cc(C#N)ccn12,CS(C)=O,387.0,chemfluor
N#Cc1ccn2c(N)c(-c3ccc(Cl)cc3)nc2c1,CS(C)=O,430.0,chemfluor
COC(=O)c1ccnc(N)c1,CS(C)=O,342.0,chemfluor
COC(=O)c1cccc(N)n1,CS(C)=O,326.0,chemfluor
Nc1ncccn1,CS(C)=O,296.0,chemfluor
Nc1cnccn1,CS(C)=O,321.0,chemfluor
COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(OC)c1OC,CS(C)=O,562.0,chemfluor
Cc1cc(/C=C/c2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,567.0,chemfluor
Cc1cc(/C=C/c2ccc(-c3ccccc3)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,564.0,chemfluor
Cc1cc(/C=C/c2c3ccccc3cc3ccccc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,536.0,chemfluor
COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1OCc1ccccc1,CS(C)=O,567.0,chemfluor
Cc1cc(/C=C/c2ccc(-n3ccnc3)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,561.0,chemfluor
Cc1cccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c1,CS(C)=O,555.0,chemfluor
Cc1cc(/C=C/c2cc(F)ccc2F)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,559.0,chemfluor
Cc1cc(/C=C/c2cccc(Br)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,554.0,chemfluor
Cc1cc(/C=C/c2ccc(Cl)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,556.0,chemfluor
COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(O)c1O,CS(C)=O,557.0,chemfluor
Cc1cc(/C=C/c2ccc(C#N)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,561.0,chemfluor
Cc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(C)c1Oc1ccccc1,CS(C)=O,559.0,chemfluor
CSc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,CS(C)=O,565.0,chemfluor
Cc1cc(/C=C/c2ccc(C(C)C)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,557.0,chemfluor
Cc1cc(/C=C/c2cccc(Oc3ccccc3)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,555.0,chemfluor
Cc1cc(/C=C/c2ccco2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,567.0,chemfluor
Cc1cc(/C=C/c2cccc3ccccc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,564.0,chemfluor
COc1ccccc1/C=C/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,CS(C)=O,560.0,chemfluor
Cc1cc(/C=C/c2ccccc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,554.0,chemfluor
COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(Cl)c1O,CS(C)=O,567.0,chemfluor
Cc1cc(/C=C/c2ccc(-c3cccs3)s2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,596.0,chemfluor
COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c2ccccc12,CS(C)=O,575.0,chemfluor
Cc1ccc(O)c(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c1,CS(C)=O,564.0,chemfluor
Cc1ccc2ccccc2c1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,CS(C)=O,546.0,chemfluor
Cc1cc(/C=C/c2ccc3ccccc3n2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,563.0,chemfluor
Cc1cc(/C=C/c2ccc(C)c3ccccc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,567.0,chemfluor
Cc1cc(/C=C/c2csc3ccccc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,565.0,chemfluor
COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c(Cl)c1O,CS(C)=O,566.0,chemfluor
Cc1cc(/C=C/c2ccccc2-c2ccccc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,556.0,chemfluor
CC(=O)Oc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,CS(C)=O,566.0,chemfluor
COc1ccc(Oc2cccc(/C=C/c3cc(C)c4n3[B-](F)(F)[N+]3=CC=CC3=C4)c2)cc1,CS(C)=O,555.0,chemfluor
Cc1cc(/C=C/c2cc(C(C)(C)C)ccc2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,564.0,chemfluor
COc1cc(/C=C/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)ccc1OC(C)=O,CS(C)=O,576.0,chemfluor
CCCCCCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,CS(C)=O,565.0,chemfluor
CCCCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,CS(C)=O,565.0,chemfluor
C=CCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,CS(C)=O,564.0,chemfluor
CCOC(OCC)c1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,CS(C)=O,563.0,chemfluor
Cc1cc(/C=C/c2ccnc3ccccc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,560.0,chemfluor
Cc1cc(/C=C/c2ccc(OCc3ccc(Br)cc3)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,563.0,chemfluor
CCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1OCC,CS(C)=O,568.0,chemfluor
COc1ccc(Br)cc1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,CS(C)=O,561.0,chemfluor
Cc1cc(/C=C/c2cc(Cl)cc(Cl)c2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,560.0,chemfluor
Cc1cc(/C=C/c2cc(C(C)(C)C)cc(C=O)c2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,560.0,chemfluor
COc1ccc2ccccc2c1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,CS(C)=O,575.0,chemfluor
COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1OC,CS(C)=O,567.0,chemfluor
CCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1OC,CS(C)=O,568.0,chemfluor
Cc1cc(/C=C/c2ccc([N+](=O)[O-])c(O)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,562.0,chemfluor
Cc1cc(/C=C/c2ccc(-c3ccccc3)s2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,589.0,chemfluor
Cc1cc(/C=C/c2c(C)c(C)c(C)c(C)c2C)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,540.0,chemfluor
Cc1cc(/C=C/c2ccc(OC(F)(F)F)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,563.0,chemfluor
Cc1cc(/C=C/c2ccc(/C=C/c3ccccc3)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,564.0,chemfluor
Cc1cc(/C=C/c2ccoc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,549.0,chemfluor
Cc1cc(/C=C/c2nccn2C)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,569.0,chemfluor
Cc1cc(/C=C/c2cc(Br)ccc2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,562.0,chemfluor
Cc1cc(/C=C/OC(C)(C)C)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,560.0,chemfluor
Cc1cc(/C=C/c2ccc3c(c2)-c2ccccc2C3)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,571.0,chemfluor
CCCc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,CS(C)=O,558.0,chemfluor
Cc1cc(/C=C/c2cnc[nH]2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,557.0,chemfluor
COc1cc(OC)c(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c(OC)c1,CS(C)=O,578.0,chemfluor
COc1cccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c1OC,CS(C)=O,556.0,chemfluor
Cc1cc(/C=C/C=C(c2ccccc2)c2ccccc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,578.0,chemfluor
Cc1cc(/C=C/c2ccc(-c3ccccn3)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,564.0,chemfluor
Cc1cc(/C=C/c2ccc3c4c(cccc24)CC3)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,575.0,chemfluor
Cc1cc(/C=C/c2ccc(OCc3ccccc3)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,564.0,chemfluor
COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(OC)c1OC(C)=O,CS(C)=O,574.0,chemfluor
COc1ccc2[nH]cc(/C=C/c3cc(C)c4n3[B-](F)(F)[N+]3=CC=CC3=C4)c2c1,CS(C)=O,587.0,chemfluor
COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(OC)c1O,CS(C)=O,575.0,chemfluor
COc1cccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c1O,CS(C)=O,561.0,chemfluor
Cc1cc(/C=C/c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,572.0,chemfluor
COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(I)c1O,CS(C)=O,568.0,chemfluor
Cc1cc(/C=C/c2ccc(Br)s2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,572.0,chemfluor
Cc1cc(/C=C/c2ccc(Oc3ccccc3)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,560.0,chemfluor
Cc1cc(/C=C/c2cc(I)cc(I)c2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,563.0,chemfluor
Cc1cc(/C=C/c2ccc(O)c(Br)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,564.0,chemfluor
Cc1cc(/C=C/c2cccc(O)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,556.0,chemfluor
Cc1cc(C)c(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c(C)c1,CS(C)=O,559.0,chemfluor
COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,CS(C)=O,564.0,chemfluor
CC(=O)Nc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,CS(C)=O,565.0,chemfluor
COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)ccc1OC(=O)OC(C)(C)C,CS(C)=O,558.0,chemfluor
Cc1cc(/C=C/c2cc(Cl)ccc2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,562.0,chemfluor
Cc1cc(/C=C/c2cc(O)ccc2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,569.0,chemfluor
Cc1cc(/C=C/c2cccc(O)c2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,563.0,chemfluor
CCOc1cccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c1O,CS(C)=O,562.0,chemfluor
Cc1cc(/C=C/c2ccc(OC(=O)OC(C)(C)C)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,566.0,chemfluor
Cc1cc(/C=C/c2ccccc2OCC(=O)O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,561.0,chemfluor
Cc1cc(/C=C/c2ccc(O)c([N+](=O)[O-])c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,561.0,chemfluor
COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1O,CS(C)=O,568.0,chemfluor
Cc1cc(/C=C/c2cc([N+](=O)[O-])ccc2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,560.0,chemfluor
Cc1cc(/C=C/c2[nH]cnc2C)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,566.0,chemfluor
Cc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)o1,CS(C)=O,573.0,chemfluor
Cc1cc(/C=C/c2ccc3ccccc3c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,564.0,chemfluor
Cc1cc(/C=C/c2ccc3c(c2)OCO3)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,566.0,chemfluor
CCCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,CS(C)=O,565.0,chemfluor
Cc1cc(/C=C/c2ccc(C=O)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,563.0,chemfluor
Cc1ccccc1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,CS(C)=O,556.0,chemfluor
Cc1cc(/C=C/c2ccc(Cl)cc2Cl)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,558.0,chemfluor
Cc1cc(/C=C/C=C/c2ccccc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,572.0,chemfluor
Cc1cc(/C=C/c2ccc(O)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,566.0,chemfluor
Cc1cc(/C=C/c2ccc(C(F)(F)F)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,554.0,chemfluor
Cc1cc(/C=C/c2ccc(OCCCN(C)C)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,563.0,chemfluor
CCOc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)ccc1OC,CS(C)=O,568.0,chemfluor
Cc1cc(/C=C/c2ccc(O)c3ccccc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,586.0,chemfluor
Cc1cc(/C=C/c2cccc(Cl)c2Cl)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,555.0,chemfluor
Cc1cc(/C=C/c2ccc(C(C)(C)C)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,558.0,chemfluor
COc1ccc(Oc2ccc(/C=C/c3cc(C)c4n3[B-](F)(F)[N+]3=CC=CC3=C4)cc2)cc1,CS(C)=O,562.0,chemfluor
COC(=O)c1ccc(-c2ccc(/C=C/c3cc(C)c4n3[B-](F)(F)[N+]3=CC=CC3=C4)cc2)cc1,CS(C)=O,564.0,chemfluor
Cc1cc(/C=C/c2cc(Br)cs2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,567.0,chemfluor
Cc1cc(/C=C/c2ccc(Cl)c(Cl)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,557.0,chemfluor
Cc1cc(/C=C/c2c[nH]c3ccc(Br)cc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,580.0,chemfluor
COc1cccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c1,CS(C)=O,555.0,chemfluor
Cc1cc(/C=C/c2ccc(B(O)O)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,558.0,chemfluor
Cc1cc(/C=C/c2ccc(C=O)s2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,580.0,chemfluor
Cc1cc(/C=C/c2ccccc2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,562.0,chemfluor
Cc1cc(/C=C/c2ccccc2C(=O)O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,554.0,chemfluor
COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c(O)c1,CS(C)=O,573.0,chemfluor
Cc1cc(/C=C/c2ccc(O)c(O)c2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,584.0,chemfluor
COc1ccc(-c2ccc(/C=C/c3cc(C)c4n3[B-](F)(F)[N+]3=CC=CC3=C4)o2)cc1Cl,CS(C)=O,600.0,chemfluor
COc1ccccc1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,CS(C)=O,561.0,chemfluor
Cc1cc(/C=C/c2ccc(-c3cncnc3)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,562.0,chemfluor
Cc1cc(/C=C/c2cc(O)cc(O)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,557.0,chemfluor
C=CCOc1ccccc1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,CS(C)=O,560.0,chemfluor
Cc1cc(C)c(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)[nH]1,CS(C)=O,612.0,chemfluor
COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c(OC)c1,CS(C)=O,571.0,chemfluor
Cc1cc(/C=C/c2ccccc2Cl)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,555.0,chemfluor
Cc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,CS(C)=O,557.0,chemfluor
COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(OC)c1,CS(C)=O,556.0,chemfluor
Cc1cc(/C=C/c2ccccc2OCc2ccccc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,561.0,chemfluor
COC(=O)c1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,CS(C)=O,558.0,chemfluor
COc1cc(Cl)c(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c(Cl)c1O,CS(C)=O,556.0,chemfluor
Cc1cc(/C=C/c2ccccc2P(c2ccccc2)c2ccccc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,558.0,chemfluor
COc1cc(Br)cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c1OC,CS(C)=O,557.0,chemfluor
Cc1cc(/C=C/c2cccc3c2OCO3)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,559.0,chemfluor
Cc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)s1,CS(C)=O,574.0,chemfluor
Cc1cc(/C=C/c2ccc(I)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,560.0,chemfluor
Cc1cc(/C=C/c2ccc(CO)o2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,569.0,chemfluor
COc1ccc(F)cc1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,CS(C)=O,561.0,chemfluor
Cc1cc(/C=C/c2ccccc2OC(F)F)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,554.0,chemfluor
COc1c(Br)cc(Br)cc1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,CS(C)=O,558.0,chemfluor
COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(I)c1OC,CS(C)=O,561.0,chemfluor
Cc1cccc(C)c1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,CS(C)=O,544.0,chemfluor
Cc1cc(/C=C/c2cc(F)cc(C(F)(F)F)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,553.0,chemfluor
COc1ccc(F)c(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c1,CS(C)=O,555.0,chemfluor
COc1cc(OC)c(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1Br,CS(C)=O,571.0,chemfluor
Cc1cc(/C=C/c2ccc(-c3cccc(C(=O)O)c3)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,565.0,chemfluor
Cc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1F,CS(C)=O,556.0,chemfluor
COc1ccc([N+](=O)[O-])cc1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,CS(C)=O,559.0,chemfluor
