smiles,solvent,quantum_yield,source
c1ccc2c(c1)OP1(=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=N1)Oc1ccccc1-2,ClCCl,0.89,deep4chem
c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34,ClCCl,0.92,deep4chem
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,Cc1ccccc1,0.57,deep4chem
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(C3=C4C(C)=CC(C)=[N+]4[B-](F)(F)n4c(C)cc(C)c43)cc2)s1,Cc1ccccc1,0.45,deep4chem
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,O,0.02,deep4chem
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CC#N,0.15,deep4chem
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CCO,0.09,deep4chem
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,OCC(O)CO,0.03,deep4chem
COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,0.38,deep4chem
C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12,CC#N,0.1,deep4chem
O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,0.02,deep4chem
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,CC#N,0.13,deep4chem
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,0.38,deep4chem
O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccccc4)c4ccccn34)cc2)s1,CC#N,0.44,deep4chem
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,0.91,deep4chem
O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,0.07,deep4chem
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCO,0.1,deep4chem
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCO,0.35,deep4chem
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCCCCC,0.61,deep4chem
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,Cc1ccccc1,0.69,deep4chem
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,ClCCl,0.93,deep4chem
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,C1CCOC1,0.83,deep4chem
O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCCCCC,0.04,deep4chem
O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,Cc1ccccc1,0.08,deep4chem
O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,ClCCl,0.1,deep4chem
O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,C1CCOC1,0.07,deep4chem
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCCCCC,0.06,deep4chem
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,Cc1ccccc1,0.06,deep4chem
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,ClCCl,0.12,deep4chem
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,C1CCOC1,0.07,deep4chem
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCCCCC,0.59,deep4chem
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,Cc1ccccc1,0.52,deep4chem
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,ClCCl,0.48,deep4chem
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,C1CCOC1,0.36,deep4chem
O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,ClC(Cl)(Cl)Cl,0.56,deep4chem
O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,CS(C)=O,0.72,deep4chem
CN1/C(=C/C=C/C2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,O,0.04,deep4chem
c1ccc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)cc1,C1CCCCC1,0.97,deep4chem
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,O,0.31,deep4chem
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CO,0.7,deep4chem
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,C1CCCCC1,0.49,deep4chem
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,ClC(Cl)(Cl)Cl,0.71,deep4chem
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCOCCCC,0.72,deep4chem
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCOCC,0.73,deep4chem
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCC#N,0.77,deep4chem
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CN(C)C=O,0.73,deep4chem
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CC1COC(=O)O1,0.72,deep4chem
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCCCCCCCO,0.64,deep4chem
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CC(C)O,0.61,deep4chem
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCCO,0.6,deep4chem
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCCO,0.59,deep4chem
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,CCCO,0.58,deep4chem
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OCCO,0.39,deep4chem
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OCC(O)CO,0.34,deep4chem
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OCC(F)(F)F,0.24,deep4chem
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,OC(C(F)(F)F)C(F)(F)F,0.09,deep4chem
O=c1c2ccccc2sc2ccccc12,CCCCOC(C)=O,0.0078,deep4chem
O=c1c2ccccc2sc2ccccc12,c1ccccc1,0.012,deep4chem
O=c1c2ccccc2sc2ccccc12,C1COCCO1,0.015,deep4chem
O=c1c2ccccc2sc2ccccc12,C1CCOC1,0.012,deep4chem
O=c1c2ccccc2sc2ccccc12,CC(C)=O,0.024,deep4chem
O=c1c2ccccc2sc2ccccc12,CC#N,0.066,deep4chem
O=c1c2ccccc2sc2ccccc12,CC(C)O,0.14,deep4chem
O=c1c2ccccc2sc2ccccc12,CO,0.25,deep4chem
O=c1c2ccccc2sc2ccccc12,OCCO,0.41,deep4chem
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,CC#N,0.0041,deep4chem
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,CC(C)O,0.054,deep4chem
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,CCO,0.082,deep4chem
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,CO,0.12,deep4chem
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,OCCO,0.23,deep4chem
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,C1CCCCC1,0.014,deep4chem
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,c1ccccc1,0.052,deep4chem
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CC#N,0.075,deep4chem
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CO,0.017,deep4chem
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CN(C)C=O,0.022,deep4chem
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CS(C)=O,0.024,deep4chem
Nc1ccccn1,C1CCCCC1,0.04,deep4chem
Nc1ccccn1,CCOCC,0.1,deep4chem
Nc1ccccn1,CCO,0.18,deep4chem
Nc1ccccn1,CC#N,0.25,deep4chem
Nc1cccnc1,C1CCCCC1,0.02,deep4chem
Nc1cccnc1,CCOCC,0.03,deep4chem
Nc1cccnc1,CCO,0.14,deep4chem
Nc1cccnc1,CC#N,0.05,deep4chem
Nc1ccncc1,CCOCC,0.0002,deep4chem
Nc1ccncc1,CCO,0.002,deep4chem
Nc1ccncc1,CC#N,0.003,deep4chem
Nc1ccccn1,O,0.21,deep4chem
Nc1cccnc1,O,0.16,deep4chem
Nc1ccncc1,O,0.0005,deep4chem
Nc1cccc[nH+]1,O,0.64,deep4chem
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,0.0024,deep4chem
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,0.1112,deep4chem
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,Cc1ccccc1,0.3007,deep4chem
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOCC,0.0886,deep4chem
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,C1CCOC1,0.0046,deep4chem
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOC(C)=O,0.0049,deep4chem
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClCCl,0.0016,deep4chem
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,CCCCCC,0.0086,deep4chem
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,ClC(Cl)(Cl)Cl,0.2925,deep4chem
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,Cc1ccccc1,0.1076,deep4chem
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,CCOCC,0.0039,deep4chem
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,C1CCOC1,0.0,deep4chem
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,CCOC(C)=O,0.0,deep4chem
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,ClCCl,0.0001,deep4chem
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCCCCC,0.3918,deep4chem
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,ClC(Cl)(Cl)Cl,0.326,deep4chem
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,Cc1ccccc1,0.092,deep4chem
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCOCC,0.0129,deep4chem
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCOC(C)=O,0.0001,deep4chem
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,ClCCl,0.0,deep4chem
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,0.4033,deep4chem
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,0.2456,deep4chem
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,Cc1ccccc1,0.0801,deep4chem
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOCC,0.0041,deep4chem
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,C1CCOC1,0.0,deep4chem
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOC(C)=O,0.0,deep4chem
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClCCl,0.0,deep4chem
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,0.2653,deep4chem
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,0.0538,deep4chem
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,Cc1ccccc1,0.0045,deep4chem
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,C1CCOC1,0.0,deep4chem
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOC(C)=O,0.0,deep4chem
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClCCl,0.0,deep4chem
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC#N,0.52,deep4chem
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC(C)=O,0.46,deep4chem
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC(=O)C(C)(C)C,0.55,deep4chem
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CCOC(C)=O,0.58,deep4chem
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,C1CCOC1,0.56,deep4chem
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CCCCCC,0.56,deep4chem
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CO,0.58,deep4chem
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC#N,0.57,deep4chem
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(C)=O,0.78,deep4chem
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(=O)C(C)(C)C,0.74,deep4chem
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCOC(C)=O,0.76,deep4chem
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,C1CCOC1,0.87,deep4chem
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCCCCC,0.98,deep4chem
COc1ccccc1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CO,0.69,deep4chem
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC#N,0.54,deep4chem
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(C)=O,0.72,deep4chem
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(=O)C(C)(C)C,0.64,deep4chem
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCOC(C)=O,0.47,deep4chem
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,C1CCOC1,0.64,deep4chem
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCCCCC,0.71,deep4chem
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CO,0.58,deep4chem
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC#N,0.55,deep4chem
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC(C)=O,0.8,deep4chem
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC(=O)C(C)(C)C,0.69,deep4chem
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CCOC(C)=O,0.64,deep4chem
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,C1CCOC1,0.78,deep4chem
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CCCCCC,0.95,deep4chem
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CO,0.68,deep4chem
C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,CCCCCCC,0.78,deep4chem
C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,C1COCCO1,0.55,deep4chem
C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,CC#N,0.32,deep4chem
C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,CO,0.02,deep4chem
CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,CCCCCCC,0.023,deep4chem
CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,C1COCCO1,0.021,deep4chem
CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,CC#N,0.018,deep4chem
CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,CO,0.016,deep4chem
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,CCCCCCC,0.4,deep4chem
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,C1COCCO1,0.3,deep4chem
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,CC#N,0.16,deep4chem
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,CO,0.02,deep4chem
C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,CCCCCCC,0.033,deep4chem
C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,C1COCCO1,0.031,deep4chem
C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,CC#N,0.034,deep4chem
C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,CO,0.016,deep4chem
Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CCCCOCCCC,0.24,deep4chem
CC(=O)Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CCCCOCCCC,0.46,deep4chem
Clc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCCCOCCCC,0.12,deep4chem
COc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCCCOCCCC,0.37,deep4chem
