smiles,solvent,emi_peakwavs_max,emi_bandwidth,source
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,Cc1ccccc1,483.0,62.1,deep4chem
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,ClCCl,490.0,62.6,deep4chem
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,C1CCOC1,485.0,63.8,deep4chem
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCCCCC,555.0,43.0,deep4chem
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,Cc1ccccc1,573.0,47.6,deep4chem
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,ClCCl,587.0,50.4,deep4chem
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,C1CCOC1,583.0,50.1,deep4chem
N#Cc1cc2ccccc2[nH]1,C1CCOC1,328.0,57.1,deep4chem
N#Cc1c[nH]c2ccccc12,C1CCOC1,314.0,64.1,deep4chem
N#Cc1cccc2[nH]ccc12,C1CCOC1,371.0,68.2,deep4chem
N#Cc1ccc2[nH]ccc2c1,C1CCOC1,349.0,62.0,deep4chem
N#Cc1ccc2cc[nH]c2c1,C1CCOC1,345.0,66.9,deep4chem
N#Cc1cccc2cc[nH]c12,C1CCOC1,368.0,80.1,deep4chem
N#Cc1cc2ccccc2[nH]1,C1COCCO1,329.0,50.8,deep4chem
N#Cc1c[nH]c2ccccc12,C1COCCO1,305.0,54.3,deep4chem
N#Cc1cccc2[nH]ccc12,C1COCCO1,369.0,64.8,deep4chem
N#Cc1ccc2[nH]ccc2c1,C1COCCO1,348.0,58.5,deep4chem
N#Cc1ccc2cc[nH]c2c1,C1COCCO1,342.0,59.2,deep4chem
N#Cc1cccc2cc[nH]c12,C1COCCO1,367.0,66.2,deep4chem
N#Cc1cc2ccccc2[nH]1,CC#N,330.0,50.1,deep4chem
N#Cc1cccc2[nH]ccc12,CC#N,380.0,73.8,deep4chem
N#Cc1ccc2[nH]ccc2c1,CC#N,362.0,64.8,deep4chem
N#Cc1ccc2cc[nH]c2c1,CC#N,354.0,73.1,deep4chem
N#Cc1cccc2cc[nH]c12,CC#N,378.0,74.5,deep4chem
N#Cc1cc2ccccc2[nH]1,CC(C)O,332.0,41.8,deep4chem
N#Cc1c[nH]c2ccccc12,CC(C)O,315.0,49.4,deep4chem
N#Cc1cccc2[nH]ccc12,CC(C)O,385.0,75.2,deep4chem
N#Cc1ccc2[nH]ccc2c1,CC(C)O,362.0,65.5,deep4chem
N#Cc1ccc2cc[nH]c2c1,CC(C)O,356.0,68.9,deep4chem
N#Cc1cccc2cc[nH]c12,CC(C)O,380.0,78.0,deep4chem
N#Cc1cc2ccccc2[nH]1,CCO,334.0,44.6,deep4chem
N#Cc1c[nH]c2ccccc12,CCO,314.0,49.4,deep4chem
N#Cc1cccc2[nH]ccc12,CCO,387.0,73.8,deep4chem
N#Cc1ccc2[nH]ccc2c1,CCO,364.0,62.7,deep4chem
N#Cc1ccc2cc[nH]c2c1,CCO,358.0,64.1,deep4chem
N#Cc1cccc2cc[nH]c12,CCO,382.0,75.2,deep4chem
N#Cc1c[nH]c2ccccc12,CO,314.0,44.6,deep4chem
N#Cc1cccc2[nH]ccc12,CO,390.0,75.9,deep4chem
N#Cc1ccc2[nH]ccc2c1,CO,367.0,63.4,deep4chem
N#Cc1ccc2cc[nH]c2c1,CO,367.0,68.9,deep4chem
N#Cc1cccc2cc[nH]c12,CO,387.0,78.7,deep4chem
N#Cc1cccc2[nH]ccc12,OCC(F)(F)F,394.0,79.4,deep4chem
N#Cc1ccc2cc[nH]c2c1,OCC(F)(F)F,364.0,61.3,deep4chem
N#Cc1cccc2cc[nH]c12,OCC(F)(F)F,391.0,73.8,deep4chem
N#Cc1cc2ccccc2[nH]1,CS(C)=O,335.0,50.8,deep4chem
N#Cc1c[nH]c2ccccc12,CS(C)=O,316.0,46.0,deep4chem
N#Cc1cccc2[nH]ccc12,CS(C)=O,392.0,74.5,deep4chem
N#Cc1ccc2[nH]ccc2c1,CS(C)=O,371.0,67.5,deep4chem
N#Cc1ccc2cc[nH]c2c1,CS(C)=O,363.0,63.4,deep4chem
N#Cc1cccc2cc[nH]c12,CS(C)=O,391.0,77.3,deep4chem
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,C1CCCCC1,446.0,71.5,deep4chem
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,c1ccccc1,464.0,73.2,deep4chem
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CC#N,538.0,102.6,deep4chem
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CO,560.0,115.2,deep4chem
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,493.0,88.3,deep4chem
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,541.0,92.9,deep4chem
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,Cc1ccccc1,558.0,102.0,deep4chem
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOCC,585.0,112.7,deep4chem
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,C1CCOC1,662.0,131.7,deep4chem
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOC(C)=O,654.0,130.2,deep4chem
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClCCl,685.0,127.2,deep4chem
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,CCCCCC,512.0,105.1,deep4chem
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,ClC(Cl)(Cl)Cl,562.0,106.6,deep4chem
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,Cc1ccccc1,599.0,117.3,deep4chem
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,CCOCC,643.0,123.4,deep4chem
Nc1ccc(-c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,ClCCl,695.0,136.3,deep4chem
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCCCCC,529.0,89.1,deep4chem
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,ClC(Cl)(Cl)Cl,588.0,99.3,deep4chem
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,Cc1ccccc1,615.0,106.8,deep4chem
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCOCC,645.0,120.4,deep4chem
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCOC(C)=O,699.0,134.7,deep4chem
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,542.0,87.7,deep4chem
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,610.0,100.0,deep4chem
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,Cc1ccccc1,635.0,105.8,deep4chem
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOCC,680.0,126.6,deep4chem
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,571.0,93.6,deep4chem
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,646.0,108.9,deep4chem
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,Cc1ccccc1,679.0,120.4,deep4chem
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOCC,720.0,166.2,deep4chem
C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,CCCCCCC,382.0,55.1,deep4chem
C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,C1COCCO1,436.0,66.8,deep4chem
C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,CC#N,492.0,94.8,deep4chem
C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,CO,496.0,101.8,deep4chem
CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,CCCCCCC,446.0,68.2,deep4chem
CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,C1COCCO1,488.0,83.1,deep4chem
CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,CC#N,540.0,105.1,deep4chem
CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,CO,551.0,102.7,deep4chem
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,CCCCCCC,472.0,70.3,deep4chem
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,C1COCCO1,481.0,95.5,deep4chem
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,CC#N,534.0,104.1,deep4chem
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,CO,540.0,100.3,deep4chem
C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,CCCCCCC,442.0,51.7,deep4chem
C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,C1COCCO1,518.0,79.0,deep4chem
C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,CC#N,569.0,89.2,deep4chem
C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,CO,583.0,96.9,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccccc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CS(C)=O,519.0,61.4,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CS(C)=O,547.0,84.1,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,CS(C)=O,557.0,70.9,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CS(C)=O,601.0,63.0,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(N2CCCCC2)cc1,CS(C)=O,603.0,45.5,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,CS(C)=O,654.0,82.0,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccccc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CC#N,512.0,72.0,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CC#N,538.0,83.6,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,CC#N,549.0,85.2,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CC#N,587.0,77.8,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(N2CCCCC2)cc1,CC#N,590.0,55.6,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,CC#N,638.0,102.6,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccccc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,Cc1ccccc1,520.0,73.5,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,Cc1ccccc1,544.0,82.0,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,Cc1ccccc1,558.0,88.4,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,Cc1ccccc1,563.0,68.8,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(N2CCCCC2)cc1,Cc1ccccc1,575.0,43.9,deep4chem
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,Cc1ccccc1,603.0,78.3,deep4chem
CCCCCCCCOc1ccc(C#Cc2ccc(C#Cc3ccc(OCCCCCCCC)c(OCCCCCCCC)c3)c3nc4c5ccccc5c5ccccc5c4nc23)cc1OCCCCCCCC,ClCCl,566.0,58.6,deep4chem
CCCCCCCCOc1ccc(C#Cc2ccc(C#Cc3ccc(OCCCCCCCC)c(OCCCCCCCC)c3)c3nc4c5ccccc5c5ccccc5c4nc23)cc1OCCCCCCCC,C1CCOC1,558.0,61.5,deep4chem
CCCCCCCCOc1ccc(C#Cc2ccc(C#Cc3ccc(OCCCCCCCC)c(OCCCCCCCC)c3)c3nc4c5ccccc5c5ccccc5c4nc23)cc1OCCCCCCCC,Cc1ccccc1,541.0,67.2,deep4chem
CCCCCCCCn1nnc(-c2ccc(C#Cc3ccc(C#Cc4ccc(-c5nnn(CCCCCCCC)n5)cc4)c4nc5c6ccccc6c6ccccc6c5nc34)cc2)n1,ClCCl,502.0,70.1,deep4chem
CCCCCCCCn1nnc(-c2ccc(C#Cc3ccc(C#Cc4ccc(-c5nnn(CCCCCCCC)n5)cc4)c4nc5c6ccccc6c6ccccc6c5nc34)cc2)n1,C1CCOC1,495.0,66.8,deep4chem
CCCCCCCCn1nnc(-c2ccc(C#Cc3ccc(C#Cc4ccc(-c5nnn(CCCCCCCC)n5)cc4)c4nc5c6ccccc6c6ccccc6c5nc34)cc2)n1,Cc1ccccc1,488.0,59.8,deep4chem
CN(C)c1ccc(-c2c(/C=C3/C=Cc4ccccc4N3C)c(=O)c2=O)cc1,ClCCl,588.0,83.4,deep4chem
CCN1/C(=C\c2c(-c3ccc(N(C)C)cc3)c(=O)c2=O)C=Cc2ccccc21,ClCCl,588.0,71.7,deep4chem
CCCN1/C(=C\c2c(-c3ccc(N(C)C)cc3)c(=O)c2=O)C=Cc2ccccc21,ClCCl,585.0,68.9,deep4chem
CCCCN1/C(=C\c2c(-c3ccc(N(C)C)cc3)c(=O)c2=O)C=Cc2ccccc21,ClCCl,585.0,52.7,deep4chem
CN(C)c1ccc(-c2c(/C=C3/C=Cc4ccccc4N3Cc3ccccc3)c(=O)c2=O)cc1,ClCCl,586.0,54.9,deep4chem
Cc1nc(-c2ccccc2O)n2c1CCCC2,ClCCl,452.0,86.1,deep4chem
Cc1ccc(O)c(-c2nc(C)c3n2CCCC3)c1,ClCCl,473.0,95.6,deep4chem
COc1ccc(O)c(-c2nc(C)c3n2CCCC3)c1,ClCCl,503.0,107.3,deep4chem
Cc1nc(-c2cc(F)ccc2O)n2c1CCCC2,ClCCl,464.0,84.2,deep4chem
Cc1nc(-c2cc(C(F)(F)F)ccc2O)n2c1CCCC2,ClCCl,432.0,73.1,deep4chem
Cc1nc(-c2cc(N)ccc2O)n2c1CCCC2,ClCCl,543.0,122.8,deep4chem
F[B-]1(F)n2c(Nc3cccc4cccnc34)ccc2C(c2ccccc2)=C2C=CC(Cl)=[N+]21,C1CCCCC1,580.0,41.9,deep4chem
F[B-]1(F)n2c(Nc3cccc4cccnc34)ccc2C(c2ccccc2)=C2C=CC(Cl)=[N+]21,Cc1ccccc1,586.0,39.5,deep4chem
F[B-]1(F)n2c(Nc3cccc4cccnc34)ccc2C(c2ccccc2)=C2C=CC(Cl)=[N+]21,ClC(Cl)Cl,583.0,47.6,deep4chem
F[B-]1(F)n2c(Nc3cccc4cccnc34)ccc2C(c2ccccc2)=C2C=CC(Cl)=[N+]21,CC#N,580.0,54.9,deep4chem
CCCN1C(=O)c2c3c(c4c(c2C1=O)CCc1cc(-c2ccc(N(C)C)cc2)c(OC)cc1-4)-c1cc(OC)c(-c2ccc(N(C)C)cc2)cc1CC3,C1CCCCC1,511.0,65.5,deep4chem
CCCN1C(=O)c2c3c(c4c(c2C1=O)CCc1cc(-c2ccc(N(C)C)cc2)c(OC)cc1-4)-c1cc(OC)c(-c2ccc(N(C)C)cc2)cc1CC3,Cc1ccccc1,548.0,69.3,deep4chem
CCCN1C(=O)c2c3c(c4c(c2C1=O)CCc1cc(-c2ccc(N(C)C)cc2)c(OC)cc1-4)-c1cc(OC)c(-c2ccc(N(C)C)cc2)cc1CC3,C1CCOC1,602.0,95.6,deep4chem
CCCN1C(=O)c2c3c(c4c(c2C1=O)CCc1cc(-c2ccc(N(C)C)cc2)c(OC)cc1-4)-c1cc(OC)c(-c2ccc(N(C)C)cc2)cc1CC3,CCOC(C)=O,598.0,94.0,deep4chem
CCCN1C(=O)c2c3c(c4c(c2C1=O)CCc1cc(-c2ccc(N(C)C)cc2)c(OC)cc1-4)-c1cc(OC)c(-c2ccc(N(C)C)cc2)cc1CC3,ClCCl,613.0,88.4,deep4chem
Nc1ccc(-c2c3nc(c(-c4ccc(N)cc4)c4ccc([nH]4)c(-c4ccc(N)cc4)c4nc(c(-c5ccc(N)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,CN(C)C=O,686.0,45.2,deep4chem
CS(=O)(=O)Nc1ccc(-c2c3nc(c(-c4ccc(NS(C)(=O)=O)cc4)c4ccc([nH]4)c(-c4ccc(NS(C)(=O)=O)cc4)c4nc(c(-c5ccc(NS(C)(=O)=O)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,CN(C)C=O,655.0,28.2,deep4chem
O=C(Nc1ccc(-c2c3nc(c(-c4ccc(NC(=O)C(F)(F)F)cc4)c4ccc([nH]4)c(-c4ccc(NC(=O)C(F)(F)F)cc4)c4nc(c(-c5ccc(NC(=O)C(F)(F)F)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1)C(F)(F)F,CN(C)C=O,652.0,24.7,deep4chem
Oc1ccc(-c2c3nc(c(-c4ccc(O)cc4)c4ccc([nH]4)c(-c4ccc(O)cc4)c4nc(c(-c5ccc(O)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,CN(C)C=O,660.0,29.7,deep4chem
Nc1cccc(-c2c3nc(c(-c4cccc(N)c4)c4ccc([nH]4)c(-c4cccc(N)c4)c4nc(c(-c5cccc(N)c5)c5ccc2[nH]5)C=C4)C=C3)c1,CN(C)C=O,651.0,20.8,deep4chem
