"SMI","lambda1 (sTDA, nm)","F1 (sTDA)","lamda1  (TD-DFT, nm)","F1 (TD-DFT)","lambda_max (Exp,  nm)","extinction (Lmol-1cm-1)","solvent"
CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C,NaN,NaN,NaN,NaN,345,NaN,NaN
O=CC=C(CCC=C(C)C)C,NaN,NaN,NaN,NaN,245,NaN,NaN
[O-][N+](=O)*,NaN,NaN,NaN,NaN,254,NaN,NaN
CNCC(CC12CCC(c3c1cccc3)c1c2cccc1)O,237,0.000161121,NaN,NaN,254,NaN,NaN
OC[C@H]1OC([C@@H]([C@@]1(O)C#C[2H])O)n1cc(O)c(=O)[nH]c1=O,258.2,0.28776551,NaN,NaN,279,NaN,NaN
C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Cl)c(=O)[nH]c1=O)[2H],246,0.285323837,NaN,NaN,276,NaN,NaN
C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Br)c(=O)[nH]c1=O)[2H],251.7,0.261910109,NaN,NaN,278,NaN,NaN
C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(I)c(=O)[nH]c1=O)[2H],266,0.006035432,NaN,NaN,287,NaN,NaN
C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1ncc(=O)[nH]c1=O)[2H],271.2,0.008340844,NaN,NaN,256,NaN,NaN
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cc(O)c(=O)[nH]c1=O,258.2,0.28064509,NaN,NaN,280,NaN,NaN
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ncc(=O)[nH]c1=O,271.6,0.007491921,NaN,NaN,257,NaN,NaN
OB(c1cccc(c1)[N+](=O)[O-])O,316.1,1.71E-06,NaN,NaN,340,NaN,NaN
B,NaN,NaN,NaN,NaN,438,NaN,NaN
C,NaN,NaN,NaN,NaN,436,NaN,NaN
Oc1ccc(cc1)c1n[nH]c(c1)c1cccc(c1)O,255.9,0.402076488,NaN,NaN,254,NaN,NaN
Oc1cccc(c1)c1ccnc(c1)c1cccs1,274.5,0.608320164,NaN,NaN,254,NaN,NaN
Cc1cc2c(n1c1ccccc1)CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,328.5,0.726872102,NaN,NaN,421.3,34243,NaN
Cc1cc2c(n1c1ccccc1)CCc1c2[nH]c(=O)c(c1)C(=O)c1ccccc1,344.2,0.717653616,NaN,NaN,441.5,23201,NaN
N#Cc1cc2CCc3c(c2[nH]c1=O)cc(n3c1ccccc1)C,335.9,0.751537811,NaN,NaN,331.6,NaN,NaN
CCOC(=O)c1cc2CCc3c(c2[nH]c1=O)cc(n3c1ccccc1)C,336.1,0.683801203,NaN,NaN,423,24350,NaN
Cn1c(C)cc2c1CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,326.7,0.644824896,NaN,NaN,423.1,31307,NaN
O=C(c1cc2CCc3c(c2[nH]c1=O)cc(n3C)C)c1ccccc1,342.4,0.624998472,NaN,NaN,445.2,22139,NaN
Cc1cc2c(n1Cc1ccccc1)CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,328.1,0.681220774,NaN,NaN,421.2,33629,NaN
O=c1[nH]c2c(cc1C(=O)c1ccccc1)CCc1c2ccn1Cc1ccccc1,343.8,0.630034174,NaN,NaN,442.7,23310,NaN
Cc1[nH]c2c(c1)c1[nH]c(=O)cc(c1cc2)C,287.1,0.126960937,NaN,NaN,337.1,NaN,NaN
Cc1cnc(nc1O[Si](C)(C)C)O[Si](C)(C)C,243.1,0.009415124,NaN,NaN,250,NaN,NaN
S=C=Nc1ccc2c(c1)C(=O)OC12c2ccc(cc2Oc2c1ccc(c2)O)O,258.6,0.038356544,NaN,NaN,280,NaN,NaN
F,NaN,NaN,NaN,NaN,470,NaN,NaN
CCc1cc(=O)c2c(o1)ccc(c2)O,287.2,0.000117034,NaN,NaN,328,NaN,NaN
CCCc1cc(=O)c2c(o1)ccc(c2)O,286,0.000172772,NaN,NaN,328,NaN,NaN
Oc1ccc2c(c1)c(=O)cc(o2)C(C)C,286.6,0.000162777,NaN,NaN,328,NaN,NaN
CC(Cc1cc(=O)c2c(o1)ccc(c2)O)C,286.9,0.000189689,NaN,NaN,328,NaN,NaN
Oc1ccc2c(c1)c(=O)cc(o2)C(C)(C)C,287.1,0.000126513,NaN,NaN,328,NaN,NaN
Cc1cc(=O)c2c(o1)ccc(c2)O,287.1,8.98E-05,NaN,NaN,328,NaN,NaN
CCCc1cc(=O)c2c(o1)cc(cc2)O,283.1,2.98E-05,NaN,NaN,292,NaN,NaN
Oc1ccc2c(c1)oc(cc2=O)C(C)C,283.2,3.74E-05,NaN,NaN,295,NaN,NaN
CC(Cc1cc(=O)c2c(o1)cc(cc2)O)C,283.7,4.33E-05,NaN,NaN,292,NaN,NaN
Oc1ccc2c(c1)oc(cc2=O)C(C)(C)C,283.4,4.65E-05,NaN,NaN,295,NaN,NaN
Cc1cc(=O)c2c(o1)cc(cc2)O,283.6,1.65E-05,NaN,NaN,247,NaN,NaN
O=c1cc(oc2c1cc1OCOc1c2)C(C)(C)C,279.6,6.81E-05,NaN,NaN,319,NaN,NaN
CC(Cc1cc(=O)c2c(o1)cc1c(c2)OCO1)C,279.7,0.000180826,NaN,NaN,319,NaN,NaN
Brc1ccc2c(c1)ccn2C,269.7,0.059257741,NaN,NaN,254,NaN,NaN
Clc1ccc2c(c1)cc([nH]2)C(=O)NCCOCCOCCNC(=O)c1cc2c([nH]1)ccc(c2)Cl,280,0.097254907,NaN,NaN,383,39000,NaN
OC(=O)CCc1c2Cc3[nH]c(c(c3C)CCC(=O)O)Cc3[nH]c(Cc4[nH]c(Cc(c1C)[nH]2)c(CCC(=O)O)c4C)c(c3CCC(=O)O)C,237.1,0.01425414,NaN,NaN,377,41700,NaN
ClC[C@H](Cl)C,NaN,NaN,NaN,NaN,364,38700,NaN
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)Cl,290.8,0.938511031,NaN,NaN,330,NaN,chloroform
N#Cc1ccc(nc1)c1ccc(cc1)F,270.5,0.638740969,NaN,NaN,329,NaN,chloroform
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)F,286.3,0.834953851,NaN,NaN,329,NaN,chloroform
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)C,289.3,0.907737251,NaN,NaN,332.5,NaN,chloroform
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)OC,293.3,1.017316329,NaN,NaN,311,NaN,chloroform
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1cccs1,299.3,0.908802185,NaN,NaN,331,NaN,chloroform
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccco1,294.7,0.955080402,NaN,NaN,329.5,NaN,chloroform
CCOc1nc2c(c(c1C#N)c1ccc(cc1)N1CCOCC1)Cc1c2cccc1,292.2,0.749280766,NaN,NaN,331,NaN,chloroform
CCOc1nc2c(c(c1C#N)c1ccc(cc1)N1CCOCC1)CSc1c2cccc1,313.3,0.270972924,NaN,NaN,240,NaN,chloroform
[Fe],NaN,NaN,NaN,NaN,0,NaN,NaN
OCc1cc(=O)oc2c1cc(Br)c(c2)O,282.9,0.282329076,NaN,NaN,366,13600,NaN
OCCNCCNc1ccc(c2c1c(O)c1c(O)ccc(c1c2O)O)NCCNCCO,456.3,0.138490528,NaN,NaN,721.5,NaN,NaN
ClC(=O)OC(Cl)(Cl)Cl,NaN,NaN,NaN,NaN,345,52000,NaN
OCC1OC(CC1O)n1cc(C)c(=O)[nH]c1=O,NaN,NaN,NaN,NaN,349,48000,NaN
COc1cc2c(cc1O)CC1c3c2c(OC)c(O)cc3CCN1C,280,0.356462645,NaN,NaN,0,NaN,NaN
N1CCN(CC1)c1ccccc1,267.1,0.036176968,NaN,NaN,210,NaN,NaN
OCCOCCOCCOCCOCCO,NaN,NaN,NaN,NaN,0,NaN,poly(ethylene glycol)s
N[C@H](C(=O)NCCOCCOCCNC(=O)c1ccc(cc1)S(=O)(=O)N)Cc1ccccc1,252.1,0.029298096,NaN,NaN,0,NaN,poly(ethylene glycol)s
CS(=O)C(Cc1ccc2c(c1)OCO2)C,257,0.090570986,NaN,NaN,210,NaN,NaN
OC(=O)CI,NaN,NaN,NaN,NaN,529,57543.99373,NaN
COc1ccc(cc1I)c1nc2c([nH]1)cc(cc2)c1nc2c([nH]1)cc(cc2)N1CCN(CC1)C,315.2,1.709162647,NaN,NaN,544.5,38904.5145,NaN
Clc1ccc(s1)c1onc(c1)Cn1c(cc2c1cccc2)C(=O)NC1CCN(CC1)C(C)C,280.2,0.467510713,NaN,NaN,554.5,60255.95861,NaN
N#Cc1c(C(=O)NC2CCN(CC2)C(C)C)n(c2c1cccc2C)Cc1noc(c1)c1ccc(s1)Cl,280.9,0.681796469,NaN,NaN,576.5,38018.93963,NaN
CC(CC(=O)O)C,NaN,NaN,NaN,NaN,617,38904.5145,NaN
O=C1c2cc3C(=O)C=CC(=O)c3cc2[C@]2(c3c1occ3C(=O)CC2)C,378.4,2.26E-06,NaN,NaN,930,NaN,NaN
COc1cc(cc(c1OC)OC)C(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,320.8,0.004736103,NaN,NaN,411,61700,NaN
O=C1OCC(=C1)[C@@H]1CC[C@]2([C@]1(C)CC[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,NaN,NaN,NaN,NaN,220,NaN,NaN
O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)CC[C@@H]2C1=CC(=O)OC1)C)C,NaN,NaN,NaN,NaN,220,NaN,NaN
CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CCCC2=CC=C1C[C@@H](O)CCC1=C)C)C,NaN,NaN,NaN,NaN,265,NaN,NaN
CCOC(=O)C(Oc1ccc(cc1)Cl)(C)C,252.9,0.040680035,NaN,NaN,278,NaN,NaN
CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C)C,NaN,NaN,NaN,NaN,220,NaN,NaN
c1ccc(c(c1)c1cc2c([nH]1)cccc2)c1cc2c([nH]1)cccc2,285.8,0.413021268,NaN,NaN,293,NaN,NaN
COc1ccc(cc1)CC(=O)c1ccc(cc1O)O,275.9,0.067314432,NaN,NaN,254,NaN,NaN
CCN(c1ccc(c(c1)OCOc1cc(ccc1C=C(C#N)C#N)N(CC)CC)C=C1C([N+](=O)[O-])c2c(C1[N+](=O)[O-])cccc2)CC,314.3,0.698823985,NaN,NaN,602,NaN,NaN
NCC[C@@H]([C@H](CCC(=O)O)CN)CC(=O)O,NaN,NaN,NaN,NaN,532,NaN,NaN
Cc1cccc(c1)CNC(=O)c1ncnc(c1)C(=O)NCc1cccc(c1)C,300.1,0.008580941,NaN,NaN,532,NaN,NaN
O=C(c1ncnc(c1)C(=O)NCc1ccc(c(c1)C)F)NCc1ccc(c(c1)C)F,300.3,0.00864072,NaN,NaN,532,NaN,NaN
NC(=N)c1ccc(cc1)OCOc1ccc(cc1)C(=N)N,242.8,0.04881281,NaN,NaN,650,NaN,Methanol
c1ccc(cc1)c1ccc(cc1)c1ccccc1,264.2,0.644606606,NaN,NaN,279,NaN,NaN
c1csc(c1)c1sccc1c1cccs1,272.9,0.327057627,NaN,NaN,350,NaN,NaN
S1CC=CC=C1,NaN,NaN,NaN,NaN,349,NaN,NaN
c1ccc(nc1)c1[nH]ncc1c1ccnc2c1cccc2,284.2,0.133797297,NaN,NaN,347,NaN,NaN
SCc1cccnc1,253,0.010172356,NaN,NaN,325,NaN,NaN
COc1ccc2c(c1)[nH]c(n2)S(=O)Cc1ncc(c(c1C)OC)C,262.1,0.53721689,NaN,NaN,302,NaN,NaN
OC(c1cc(Cl)c(c(c1)Cl)N)CNC(C)(C)C.[Cl-].[H+],NaN,NaN,NaN,NaN,298,NaN,NaN
O=C1C(CCc2c1c1ccccc1n2C)Cn1ccnc1C.O.O.[Cl-].[H+],NaN,NaN,NaN,NaN,305,NaN,NaN
CCN(c1ccc(c(c1)C)N=Nc1ccc(cc1)S(=O)(=O)O)CC,447.5,0.000125147,NaN,NaN,860,NaN,NaN
c1ccc(cc1)C=Cc1ccc(cc1c1cc(ccc1C=Cc1ccccc1)C=Cc1ccccc1)C=Cc1ccccc1,334.6,0.921917833,NaN,NaN,360,NaN,NaN
Oc1ccccc1c1nc2c(s1)cccc2,297.3,0.527660073,NaN,NaN,333,NaN,Ethanol
Fc1ccc2c(c1)sc(n2)c1ccccc1OCc1ccccc1,280.8,0.459625723,NaN,NaN,322,NaN,Ethanol
O=c1[nH]c(=O)n(cc1F)C1CCCO1,240.8,0.282652431,NaN,NaN,205,NaN,NaN
N#CC1=C(N)Oc2c(C1)c(=O)oc1c2cccc1,286.5,0.015301767,NaN,NaN,254,NaN,NaN
CN(c1ccc(cc1)N(C)C)C,289.3,0.08234894,NaN,NaN,0,NaN,NaN
CN(c1c(C)c(C)c(c(c1C)C)N(C)C)C,NaN,NaN,NaN,NaN,264,NaN,NaN
C1CN2CCCC3=C2C(C1)C1CCCN2C1=C3C=CC2,NaN,NaN,NaN,NaN,0,NaN,NaN
Nc1ccc(cc1)N,285,0.067824431,NaN,NaN,0,NaN,NaN
Cc1c(N)c(C)c(c(c1C)N)C,NaN,NaN,NaN,NaN,0,NaN,NaN
C=Cc1ccccc1,250.3,0.214736304,NaN,NaN,254,NaN,NaN
[O-][N+](=O)c1cc(cc(c1NN(c1ccccc1)c1ccccc1)[N+](=O)[O-])[N+](=O)[O-],352.8,0.14143738,NaN,NaN,1100,NaN,NaN
N#CC(c1ccccc1)NC(Cc1ccccc1)C,231.5,0.001202047,NaN,NaN,495,NaN,Ethanol
POS,NaN,NaN,NaN,NaN,427,70794.57844,NaN
Cc1[nH]c2c(c1N=Nc1nncs1)cccc2,436.2,0.000276443,NaN,NaN,469,NaN,DMSO
Cn1c(C)c(c2c1cccc2)N=Nc1nncs1,434.6,7.14E-05,NaN,NaN,441,NaN,DMSO
c1ccc(cc1)c1[nH]c2c(c1N=Nc1nncs1)cccc2,471.1,0.005296159,NaN,NaN,496,NaN,DMSO
Cn1c(c2ccccc2)c(c2c1cccc2)N=Nc1nncs1,473.9,0.004123601,NaN,NaN,452,NaN,DMSO
CSc1nnc(s1)N=Nc1c(C)[nH]c2c1cccc2,432,0.005526567,NaN,NaN,462,NaN,DMSO
CSc1nnc(s1)N=Nc1c2ccccc2n(c1C)C,431.1,0.001538318,NaN,NaN,460,NaN,DMSO
CSc1nnc(s1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,473.7,0.002790674,NaN,NaN,509,NaN,DMSO
CSc1nnc(s1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,472.4,0.017186634,NaN,NaN,466,NaN,DMSO
O=CN(C)C,NaN,NaN,NaN,NaN,469,NaN,DMSO
CCc1nnc(s1)N=Nc1c2ccccc2n(c1C)C,434.1,0.00164716,NaN,NaN,442,NaN,DMSO
CCc1nnc(s1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,473.5,0.004839492,NaN,NaN,499,NaN,DMSO
CCc1nnc(s1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,472.2,0.005015792,NaN,NaN,450,NaN,DMSO
Cc1[nH]c2c(c1N=Nc1n[nH]c(n1)S)cccc2,401.7,8.53E-05,NaN,NaN,388,NaN,DMSO
Sc1[nH]nc(n1)N=Nc1c(C)n(c2c1cccc2)C,400.3,6.40E-05,NaN,NaN,402,NaN,DMSO
Sc1[nH]nc(n1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,443.6,0.011564794,NaN,NaN,411,NaN,DMSO
Sc1[nH]nc(n1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,434.5,0.003531655,NaN,NaN,394,NaN,DMSO
NC(=N)c1ccc(cc1)OCCOCCOc1ccc(cc1)C(=N)N,250,0.02121924,NaN,NaN,327,NaN,NaN
O=C(c1cccc(c1O)O)c1ccccc1,312.7,0.094836303,NaN,NaN,327,NaN,NaN
COC(=O)C1=C(C)NC2=C(C1c1ccccc1Cl)C(=O)C(CC2)(C)C,313.3,0.181211597,NaN,NaN,367,NaN,methanol
COC(=O)C1=C(C)NC2=C(C1c1cccc(c1)Cl)C(=O)C(CC2)(C)C,308.7,0.181235706,NaN,NaN,362,NaN,methanol
COC(=O)C1=C(C)NC2=C(C1c1cccc(c1Cl)Cl)C(=O)C(CC2)(C)C,312.9,0.180133361,NaN,NaN,367,NaN,methanol
Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccccc1,280.3,0.062064759,NaN,NaN,0,NaN,NaN
OCc1ccc(o1)c1nn(c2c1cccc2)Cc1ccccc1,293.2,0.51397649,NaN,NaN,0,NaN,NaN
[O-][N+](=O)c1ccccc1C,318.5,0.011649878,NaN,NaN,1000,NaN,NaN
c1ccc2c(c1)NCC2,265.4,0.052286705,NaN,NaN,409,NaN,NaN
OC(=O)C=Cc1ccccc1,261.2,0.52562739,NaN,NaN,215,NaN,NaN
OC(=O)c1cc(O)c(c(c1)O)O,265.1,0.016873486,NaN,NaN,226,NaN,NaN
COc1cc(ccc1O)C(=O)O,259.6,0.098282183,NaN,NaN,261,NaN,NaN
OC(=O)C=Cc1ccc(cc1)O,268.8,0.60572169,NaN,NaN,230,NaN,NaN
COc1cc(C=CC(=O)O)ccc1O,NaN,NaN,NaN,NaN,235,NaN,NaN
Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,283.8,0.421515806,NaN,NaN,224,NaN,NaN
Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,288.4,0.508636585,NaN,NaN,253,NaN,NaN
OCCc1ccc(cc1)O,246.2,0.043574489,NaN,NaN,225,NaN,NaN
OC(=O)COc1cc2cc(oc2cc1N(CC(=O)O)CC(=O)O)c1ncc(o1)C(=O)O,301.9,1.259885419,NaN,NaN,369,22000,NaN
CNc1ccccc1,260.3,0.051502176,NaN,NaN,260,NaN,hexane
Nc1ccccc1,254,0.041415455,NaN,NaN,243,NaN,hexane
CF,NaN,NaN,NaN,NaN,277,NaN,Cyclohexane
OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F,300.7,0.308370205,NaN,NaN,287,NaN,Cyclohexane
OC(=O)c1ccccc1C(=O)Nc1cccc2c1cccc2,300.2,0.174906032,NaN,NaN,285,NaN,Cyclohexane
OCCNCCO,NaN,NaN,NaN,NaN,455,NaN,NaN
CCc1cccc(c1NC(=O)n1cc2c(c1)C(=NC(=O)c1ccc(cc1)N1CCN(CC1)C)N=N2)CC,514.1,0.002735343,NaN,NaN,435,NaN,NaN
C[Si](N1CCCC1)(C)C,NaN,NaN,NaN,NaN,445,NaN,NaN
CN([Si](C)(C)C)C,NaN,NaN,NaN,NaN,435,NaN,NaN
CCCNCCC,NaN,NaN,NaN,NaN,445,NaN,NaN
CCN(CC)CC,NaN,NaN,NaN,NaN,444,NaN,NaN
CN1CCCCC1,NaN,NaN,NaN,NaN,435,NaN,NaN
C[Si](N[Si](C)(C)C)(C)C,NaN,NaN,NaN,NaN,440,NaN,NaN
CN([Si](C)(C)C)[Si](C)(C)C,NaN,NaN,NaN,NaN,440,NaN,NaN
P,NaN,NaN,NaN,NaN,440,NaN,NaN
OC(=O)Cc1ccc(cc1)[N+](=O)[O-],316,7.38E-07,NaN,NaN,545,NaN,NaN
Oc1ccc(cc1)[N+](=O)[O-],312.2,8.10E-07,NaN,NaN,547,NaN,NaN
S,NaN,NaN,NaN,NaN,503.2,NaN,NaN
Nc1ccc(cc1)[N+](=O)[O-],311.7,3.13E-05,NaN,NaN,545,NaN,NaN
c1ccc2c(c1)Oc1c(C2)c2ccccc2cc1,296.9,0.035108275,NaN,NaN,254,NaN,NaN
N#CC(=CC1CC(c2c1cccc2)C=C(C#N)C#N)C#N,246.3,0.219716127,NaN,NaN,0,NaN,NaN
O=C(c1ccccc1)c1ccccc1,305,0.001960515,NaN,NaN,526,NaN,EtOAc
Brc1ccc(cc1)c1ccc(cc1)c1ccccc1,267.8,0.762150532,NaN,NaN,461,NaN,EtOAc
