Tag,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),abs FWHM (cm-1),emi FWHM (cm-1),abs FWHM (nm),emi FWHM (nm),Molecular weight (g mol-1),Reference
23,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,421,531,3.4,NaN,NaN,NaN,NaN,NaN,NaN,309.28616,DOI: 10.1021/j100248a024
24,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,434,546,3.5,NaN,NaN,NaN,NaN,NaN,NaN,309.28616,DOI: 10.1021/j100248a024
25,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,382,439,4.2,NaN,NaN,NaN,NaN,NaN,NaN,283.24828,DOI: 10.1021/j100248a024
26,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,405,510,5.6,NaN,NaN,NaN,NaN,NaN,NaN,283.24828,DOI: 10.1021/j100248a024
27,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCO,408,515,5.1,NaN,NaN,NaN,NaN,NaN,NaN,283.24828,DOI: 10.1021/j100248a024
28,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,365,465,5.2,NaN,NaN,NaN,NaN,NaN,NaN,229.15664,DOI: 10.1021/j100248a024
29,CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,454,501,3.2,NaN,NaN,NaN,NaN,NaN,NaN,350.44092,DOI: 10.1021/j100248a024
30,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,403,480,2.8,NaN,NaN,NaN,NaN,NaN,NaN,347.41674,DOI: 10.1021/j100248a024
31,CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,354,420,3.5,NaN,NaN,NaN,NaN,NaN,NaN,217.2671,DOI: 10.1021/j100248a024
32,CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,383,481,7.7,NaN,NaN,NaN,NaN,NaN,NaN,271.23728,DOI: 10.1021/j100248a024
33,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CO,530,555,3.7,NaN,NaN,NaN,NaN,NaN,NaN,443.56514,doi/10.1021/j100535a016
34,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,O,NaN,NaN,1.52,NaN,NaN,NaN,NaN,NaN,NaN,445.58102,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
35,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,O,NaN,NaN,4.16,0.95,NaN,NaN,NaN,NaN,NaN,330.2944,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
36,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,[2H]O[2H],NaN,NaN,1.84,NaN,NaN,NaN,NaN,NaN,NaN,442.5572,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
37,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,[2H]O[2H],NaN,NaN,1.64,NaN,NaN,NaN,NaN,NaN,NaN,445.58102,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
38,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,[2H]O[2H],NaN,NaN,4.36,NaN,NaN,NaN,NaN,NaN,NaN,443.56514,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
39,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,[2H]O[2H],NaN,NaN,4.36,NaN,NaN,NaN,NaN,NaN,NaN,330.2944,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
40,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,[2H]O[2H],NaN,NaN,4.8,NaN,NaN,NaN,NaN,NaN,NaN,490.6012,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
41,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CO,NaN,NaN,2.46,NaN,NaN,NaN,NaN,NaN,NaN,442.5572,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
42,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CO,NaN,NaN,2.15,NaN,NaN,NaN,NaN,NaN,NaN,445.58102,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
43,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CO,NaN,NaN,4.28,NaN,NaN,NaN,NaN,NaN,NaN,330.2944,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
44,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CO,NaN,NaN,4.59,1,NaN,NaN,NaN,NaN,NaN,490.6012,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
45,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCO,NaN,NaN,2.45,NaN,NaN,NaN,NaN,NaN,NaN,445.58102,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
46,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCO,NaN,NaN,4.25,NaN,NaN,NaN,NaN,NaN,NaN,330.2944,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
47,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CC(C)O,NaN,NaN,3.26,NaN,NaN,NaN,NaN,NaN,NaN,442.5572,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
48,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CC(C)O,NaN,NaN,2.69,NaN,NaN,NaN,NaN,NaN,NaN,445.58102,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
49,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CC(C)O,NaN,NaN,3.96,NaN,NaN,NaN,NaN,NaN,NaN,443.56514,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
50,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CC(C)O,NaN,NaN,4.36,NaN,NaN,NaN,NaN,NaN,NaN,330.2944,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
51,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CC(C)O,NaN,NaN,4.36,NaN,NaN,NaN,NaN,NaN,NaN,490.6012,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
52,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCO,NaN,NaN,3.27,NaN,NaN,NaN,NaN,NaN,NaN,442.5572,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
53,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCO,NaN,NaN,2.79,NaN,NaN,NaN,NaN,NaN,NaN,445.58102,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
54,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCO,NaN,NaN,3.95,NaN,NaN,NaN,NaN,NaN,NaN,443.56514,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
55,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCO,NaN,NaN,4.42,NaN,NaN,NaN,NaN,NaN,NaN,330.2944,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
56,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCO,NaN,NaN,4.3,NaN,NaN,NaN,NaN,NaN,NaN,490.6012,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
57,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCO,NaN,NaN,3.37,NaN,NaN,NaN,NaN,NaN,NaN,442.5572,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
58,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCO,NaN,NaN,2.98,NaN,NaN,NaN,NaN,NaN,NaN,445.58102,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
59,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCO,NaN,NaN,3.89,NaN,NaN,NaN,NaN,NaN,NaN,443.56514,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
60,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCO,NaN,NaN,4.4,NaN,NaN,NaN,NaN,NaN,NaN,330.2944,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
61,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCO,NaN,NaN,4.3,NaN,NaN,NaN,NaN,NaN,NaN,490.6012,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
62,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCCCO,NaN,NaN,3.41,NaN,NaN,NaN,NaN,NaN,NaN,442.5572,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
63,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCCCO,NaN,NaN,3.09,NaN,NaN,NaN,NaN,NaN,NaN,445.58102,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
64,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCCCO,NaN,NaN,3.88,NaN,NaN,NaN,NaN,NaN,NaN,443.56514,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
65,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCCCO,NaN,NaN,4.48,NaN,NaN,NaN,NaN,NaN,NaN,330.2944,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
66,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCCCO,NaN,NaN,4.27,NaN,NaN,NaN,NaN,NaN,NaN,490.6012,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
67,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCCCCCO,NaN,NaN,3.42,NaN,NaN,NaN,NaN,NaN,NaN,442.5572,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
68,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCCCCCO,NaN,NaN,3.18,NaN,NaN,NaN,NaN,NaN,NaN,445.58102,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
69,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCCCCCO,NaN,NaN,3.83,NaN,NaN,NaN,NaN,NaN,NaN,443.56514,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
70,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCCCCCO,NaN,NaN,4.52,NaN,NaN,NaN,NaN,NaN,NaN,330.2944,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
71,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCCCCCO,NaN,NaN,4.17,NaN,NaN,NaN,NaN,NaN,NaN,490.6012,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
72,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,O,515,538,1.425,0.2,NaN,NaN,NaN,NaN,NaN,645.87864,doi/10.1021/ja00455a017
73,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,521,534,0.115,0.02,NaN,NaN,NaN,NaN,NaN,833.86264,doi/10.1021/ja00455a017
74,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,548,566,0.095,0.018,NaN,NaN,NaN,NaN,NaN,971.64288,doi/10.1021/ja00455a017
75,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CO,522,542,3.28,0.6,NaN,NaN,NaN,NaN,NaN,645.87864,doi/10.1021/ja00455a017
76,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,526,545,0.5,0.08,NaN,NaN,NaN,NaN,NaN,833.86264,doi/10.1021/ja00455a017
77,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,556,571,0.655,0.08,NaN,NaN,NaN,NaN,NaN,971.64288,doi/10.1021/ja00455a017
78,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CCO,527,550,3.62,0.69,NaN,NaN,NaN,NaN,NaN,645.87864,doi/10.1021/ja00455a017
79,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,532,551,0.565,0.08,NaN,NaN,NaN,NaN,NaN,833.86264,doi/10.1021/ja00455a017
80,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,558,573,0.82,0.11,NaN,NaN,NaN,NaN,NaN,971.64288,doi/10.1021/ja00455a017
81,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CC(C)O,529,551,3.715,0.76,NaN,NaN,NaN,NaN,NaN,645.87864,doi/10.1021/ja00455a017
82,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,532,557,0.66,0.1,NaN,NaN,NaN,NaN,NaN,833.86264,doi/10.1021/ja00455a017
83,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,561,576,1.015,0.14,NaN,NaN,NaN,NaN,NaN,971.64288,doi/10.1021/ja00455a017
84,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,C1CCCCC1,342,401,1.6,NaN,NaN,NaN,2151,NaN,NaN,227.30598,doi/10.1021/bi00581a025
85,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,c1ccccc1,355,421,3.3,NaN,NaN,NaN,2154,NaN,NaN,227.30598,doi/10.1021/bi00581a025
86,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CCN(CC)CC,343,406,NaN,NaN,NaN,NaN,2416,NaN,NaN,227.30598,doi/10.1021/bi00581a025
87,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,Clc1ccccc1,254,430,NaN,NaN,NaN,NaN,2738,NaN,NaN,227.30598,doi/10.1021/bi00581a025
88,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CC(C)=O,350,452,NaN,NaN,NaN,NaN,2976,NaN,NaN,227.30598,doi/10.1021/bi00581a025
89,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCCO,375,515,NaN,NaN,NaN,NaN,3530,NaN,NaN,227.30598,doi/10.1021/bi00581a025
90,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCC(O)CO,370,510,3.8,NaN,NaN,NaN,2487,NaN,NaN,227.30598,doi/10.1021/bi00581a025
91,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,O,364,531,2.1,NaN,NaN,NaN,2614,NaN,NaN,227.30598,doi/10.1021/bi00581a025
92,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCCCO,NaN,477,21.6,NaN,NaN,NaN,NaN,NaN,NaN,299.34922,https://doi.org/10.1063/1.1675715
93,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCCO,NaN,479,21,NaN,NaN,NaN,NaN,NaN,NaN,299.34922,https://doi.org/10.1063/1.1675715
94,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCO,NaN,485,18,NaN,NaN,NaN,NaN,NaN,NaN,299.34922,https://doi.org/10.1063/1.1675715
95,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CO,NaN,490,13.6,NaN,NaN,NaN,NaN,NaN,NaN,299.34922,https://doi.org/10.1063/1.1675715
96,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,OCCO,NaN,495,11.8,NaN,NaN,NaN,NaN,NaN,NaN,299.34922,https://doi.org/10.1063/1.1675715
97,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,OCC(O)CO,NaN,501,9,NaN,NaN,NaN,NaN,NaN,NaN,299.34922,https://doi.org/10.1063/1.1675715
98,c1ccc2ccccc2c1,C1CCCCC1,286,324,96,0.23,3.58,NaN,NaN,NaN,32.9,128.17352,https://doi.org/10.3390/molecules17055108
99,C[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294,328,64,0.3,3.73,NaN,NaN,NaN,29.6,200.35604,https://doi.org/10.3390/molecules17055108
100,C[SiH](C)c1cccc2ccccc12,C1CCCCC1,294,328,61,NaN,3.75,NaN,NaN,NaN,29.2,186.32916,https://doi.org/10.3390/molecules17055108
101,CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294,329,63,NaN,3.74,NaN,NaN,NaN,30.2,242.43668,https://doi.org/10.3390/molecules17055108
102,CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,295,329,56,NaN,3.78,NaN,NaN,NaN,30.7,242.43668,https://doi.org/10.3390/molecules17055108
103,CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294,329,62,NaN,3.76,NaN,NaN,NaN,30,298.5442,https://doi.org/10.3390/molecules17055108
104,C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,300,333,23,0.33,3.87,NaN,NaN,NaN,34.2,272.53856,https://doi.org/10.3390/molecules17055108
105,C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,300,333,30,NaN,3.86,NaN,NaN,NaN,33.3,244.4848,https://doi.org/10.3390/molecules17055108
106,CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,302,335,12,NaN,3.91,NaN,NaN,NaN,36,356.69984,https://doi.org/10.3390/molecules17055108
107,COc1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,312,327,10,0.65,3.71,NaN,NaN,NaN,38.8,230.38192,https://doi.org/10.3390/molecules17055108
108,C[Si](C)(C)c1ccc(C#N)c2ccccc12,C1CCCCC1,315,333,11,0.66,3.88,NaN,NaN,NaN,34.1,225.3661,https://doi.org/10.3390/molecules17055108
109,C[Si](C)(C)c1cccc2c(C#N)cccc12,C1CCCCC1,311,333,8,NaN,3.82,NaN,NaN,NaN,33.3,225.3661,https://doi.org/10.3390/molecules17055108
110,C[Si](C)(C)C#Cc1cccc2ccccc12,C1CCCCC1,316,336,9,NaN,4.13,NaN,NaN,NaN,36.8,224.37804,https://doi.org/10.3390/molecules17055108
111,C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,347,352,2,0.85,4.65,NaN,NaN,NaN,30.5,320.58256,https://doi.org/10.3390/molecules17055108
112,CCCCCCCCCCCCn1cccc1/C=C/c1cc(OCCCC)c(/C=C/c2cccn2CCCCCCCCCCCC)cc1OCCCC,Cc1ccccc1,411,472,1.26,0.4,NaN,NaN,NaN,NaN,69.2,741.1972,https://doi.org/10.1016/S0040-4039(00)01039-X
113,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(OCCCC)c2c(/C=C/c3cccn3CCCCCCCCCCCC)ccc(OCCCC)c12,Cc1ccccc1,375,490,2.74,0.35,NaN,NaN,NaN,NaN,89.8,791.25708,https://doi.org/10.1016/S0040-4039(00)01039-X
114,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(/C=C/c2cccn2CCCCCCCCCCCC)cc1,Cc1ccccc1,398,443,1.06,0.32,NaN,NaN,NaN,NaN,63.2,596.98416,https://doi.org/10.1016/S0040-4039(00)01039-X
115,N#Cc1cc2ccc(cc2)c2cccc3cccc(c4ccc(cc4)cc(C#N)c4ccc(cc4)c4cccc5cccc(c6ccc1cc6)c54)c32,Cc1ccccc1,350,496,20.6,0.55,NaN,NaN,NaN,51.6,95.6,658.8022,https://doi.org/10.1002/chem.201404745
116,CCCCCCCCc1ccc(-c2ccc(/C=C(\C#N)c3ccc(-c4cccc5cccc(-c6ccc(/C(C#N)=C/c7ccc(-c8ccc(CCCCCCCC)cc8)cc7)cc6)c45)cc3)cc2)cc1,Cc1ccccc1,350,491,4.9,0.12,NaN,NaN,NaN,64.1,96.8,911.28604,https://doi.org/10.1002/chem.201404745
117,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,489,560,2.4,0.72,4.77815125,NaN,NaN,93.2,80,752.83944,https://doi.org/10.1016/j.dyepig.2018.02.016
118,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,ClC(Cl)(Cl)Cl,497.3451327,571.8681319,NaN,NaN,NaN,NaN,NaN,94.7,80.4,752.83944,https://doi.org/10.1016/j.dyepig.2018.02.016
