smiles,solvent,abs_peakwavs_max,emi_peakwavs_max
O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CCO,527.0,550.0
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,532.0,551.0
O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,558.0,573.0
O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CC(C)O,529.0,551.0
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,532.0,557.0
O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,561.0,576.0
c1ccc2ccccc2c1,C1CCCCC1,286.0,324.0
C[SiH](C)c1cccc2ccccc12,C1CCCCC1,294.0,328.0
CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,329.0
CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,295.0,329.0
C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,300.0,333.0
CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,302.0,335.0
COc1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,312.0,327.0
C[Si](C)(C)c1ccc(C#N)c2ccccc12,C1CCCCC1,315.0,333.0
C[Si](C)(C)c1cccc2c(C#N)cccc12,C1CCCCC1,311.0,333.0
C[Si](C)(C)C#Cc1cccc2ccccc12,C1CCCCC1,316.0,336.0
C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,347.0,352.0
CCCCCCCCCCCCn1cccc1/C=C/c1cc(OCCCC)c(/C=C/c2cccn2CCCCCCCCCCCC)cc1OCCCC,Cc1ccccc1,411.0,472.0
CCCCCCCCCCCCn1cccc1/C=C/c1ccc(OCCCC)c2c(/C=C/c3cccn3CCCCCCCCCCCC)ccc(OCCCC)c12,Cc1ccccc1,375.0,490.0
N#Cc1cc2ccc(cc2)c2cccc3cccc(c4ccc(cc4)cc(C#N)c4ccc(cc4)c4cccc5cccc(c6ccc1cc6)c54)c32,Cc1ccccc1,350.0,496.0
CCCCCCCCc1ccc(-c2ccc(/C=C(\C#N)c3ccc(-c4cccc5cccc(-c6ccc(/C(C#N)=C/c7ccc(-c8ccc(CCCCCCCC)cc8)cc7)cc6)c45)cc3)cc2)cc1,Cc1ccccc1,350.0,491.0
ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,417.0
ClP1(Cl)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,455.0
ClP1(Cl)=N[P@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,419.0
c1ccc2c(c1)OP1(=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=N1)Oc1ccccc1-2,ClCCl,343.0,457.0
c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34,ClCCl,343.0,459.0
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,Cc1ccccc1,580.0,623.0
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(C3=C4C(C)=CC(C)=[N+]4[B-](F)(F)n4c(C)cc(C)c43)cc2)s1,Cc1ccccc1,615.0,637.0
COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,374.0,479.0
O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,357.0,494.0
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,CC#N,372.0,501.0
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,353.0,473.0
O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccccc4)c4ccccn34)cc2)s1,CC#N,362.0,485.0
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,436.0,500.0
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCO,437.0,509.0
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCCCCC,427.0,465.0
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,Cc1ccccc1,435.0,483.0
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,ClCCl,437.0,490.0
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,C1CCOC1,432.0,485.0
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCCCCC,432.0,486.0
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,Cc1ccccc1,437.0,491.0
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,ClCCl,439.0,497.0
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,C1CCOC1,436.0,497.0
O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,ClC(Cl)(Cl)Cl,445.0,460.0
O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,CS(C)=O,451.0,461.0
O=C1NC(=O)c2ccc(N3CCCCC3)c3cccc1c23,ClC(Cl)Cl,414.0,517.0
O=C1NC(=O)c2ccc(N3CCOCC3)c3cccc1c23,ClC(Cl)Cl,394.0,504.0
Cc1ccc(N(CC(=O)[O-])CC(=O)[O-])c(OCCOc2cc3cc(-c4ncc(C(=O)[O-])o4)oc3cc2N(CC(=O)[O-])CC(=O)[O-])c1,O,362.0,500.0
COc1cc(N(CC(=O)[O-])CC(=O)[O-])c2nc(COc3cc(C)ccc3N(CC(=O)[O-])CC(=O)[O-])ccc2c1,O,356.0,500.0
COc1cc(N(CC(=O)[O-])CC(=O)[O-])c2ncccc2c1,O,353.0,487.0
O=C([O-])COc1cc(NC(=O)c2ccc(-c3c4cc(Cl)c(=O)cc-4oc4cc(O)c(Cl)cc34)c(C(=O)[O-])c2)ccc1N(CC(=O)[O-])CC(=O)[O-],O,506.0,532.0
COc1cc2cc(-c3ccc(C(=O)OCOC(C)=O)cc3C(=O)OCOC(C)=O)oc2cc1N1CCOCCOCCN(c2cc3oc(-c4ccc(C(=O)OCOC(C)=O)cc4C(=O)OCOC(C)=O)cc3cc2OC)CCOCCOCC1,O,350.0,546.0
CCN1CCCc2cc3c(cc21)Oc1cc2c(cc1=N3)C(CS(=O)(=O)[O-])CC(C)(C)[N+]=2CCCC(=O)[O-],O,655.0,690.0
CN(C)c1ccc2cc3ccc(N(C)C)cc3nc2c1,O,500.0,530.0
Nc1ccc2c(-c3ccc(C(=O)CN4C(=O)CCC4=O)cc3C(=O)[O-])c3ccc(=[NH2+])c(S(=O)(=O)[O-])c-3oc2c1S(=O)(=O)[O-],O,494.0,519.0
CC1(CCCCC(=O)NCCCCCCO)C(/C=C/C=C/C=C2/N(CCCS(=O)(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)=[N+](CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21,O,651.0,672.0
CN1/C(=C/C=C/C2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,O,548.0,562.0
O=C([O-])c1cc(N2C(=O)C=CC2=O)ccc1-c1c2cc(F)c(=O)cc-2oc2cc([O-])c(F)cc12,O,493.0,520.0
CC1(C)C(/C=C/C=C/C=C/C=C2\N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,O,780.0,820.0
NC(=O)C1=CN([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)C[C@@H]3O)O2)C=CC1,O,350.0,450.0
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,O,275.0,350.0
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,CCO,280.0,375.0
c1ccc2[nH]ccc2c1,O,290.0,360.0
Nc1ncc2nc[nH]c2n1,O,290.0,380.0
N[C@@H](Cc1ccc(O)cc1)C(=O)O,O,285.0,300.0
Nc1ccccc1C(=O)O,O,290.0,400.0
O=S(=O)([O-])c1cc(O)c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c34,O,454.0,511.0
NNC(=O)N1C(=O)c2cc(S(=O)(=O)[O-])cc3c(N)c(S(=O)(=O)[O-])cc(c23)C1=O,O,458.0,535.0
c1ccc2[nH]ccc2c1,O,270.0,345.0
N#Cc1cccc2[nH]ccc12,O,305.0,405.0
N#Cc1ccc2[nH]ccc2c1,O,275.0,390.0
N#Cc1ccc2cc[nH]c2c1,O,285.0,375.0
N#Cc1cc2ccccc2[nH]1,C1COCCO1,281.595092,329.0
N#Cc1c[nH]c2ccccc12,C1COCCO1,277.3006135,305.0
N#Cc1cccc2[nH]ccc12,C1COCCO1,304.2944785,369.0
N#Cc1ccc2[nH]ccc2c1,C1COCCO1,274.8466258,348.0
N#Cc1ccc2cc[nH]c2c1,C1COCCO1,284.3558282,342.0
N#Cc1cc2ccccc2[nH]1,CC#N,279.6875,330.0
N#Cc1c[nH]c2ccccc12,CC#N,276.25,313.0
N#Cc1cccc2[nH]ccc12,CC#N,302.8125,380.0
N#Cc1ccc2[nH]ccc2c1,CC#N,275.0,362.0
N#Cc1ccc2cc[nH]c2c1,CC#N,285.0,354.0
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,368.0,493.0
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,376.0,541.0
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,Cc1ccccc1,376.0,558.0
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOCC,369.0,585.0
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,C1CCOC1,374.0,662.0
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOC(C)=O,371.0,654.0
O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClCCl,379.0,685.0
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCCCCC,442.0,529.0
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,ClC(Cl)(Cl)Cl,457.0,588.0
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,Cc1ccccc1,454.0,615.0
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCOCC,443.0,645.0
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,C1CCOC1,447.0,713.0
O=C1c2ccccc2C(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,CCOC(C)=O,446.0,699.0
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,457.0,542.0
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,474.0,610.0
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,Cc1ccccc1,470.0,635.0
Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOCC,459.0,680.0
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCCCCC,468.0,571.0
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,ClC(Cl)(Cl)Cl,483.0,646.0
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,Cc1ccccc1,481.0,679.0
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)cc1,CCOCC,472.0,720.0
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC#N,497.0,508.0
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC(C)=O,498.0,509.0
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CC(=O)C(C)(C)C,499.0,511.0
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CCOC(C)=O,498.0,510.0
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,C1CCOC1,500.0,512.0
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CCCCCC,501.0,511.0
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)cc(C)n1[B-]2(F)F,CO,498.0,510.0
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC#N,500.0,513.0
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(C)=O,503.0,516.0
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CC(=O)C(C)(C)C,505.0,520.0
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCOC(C)=O,504.0,520.0
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,C1CCOC1,506.0,520.0
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CCCCCC,507.0,519.0
COc1cccc(OC)c1C1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CO,503.0,518.0
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC#N,501.0,513.0
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC(C)=O,503.0,515.0
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CC(=O)C(C)(C)C,505.0,517.0
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CCOC(C)=O,503.0,511.0
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,C1CCOC1,506.0,517.0
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CCCCCC,505.0,520.0
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c(OC)c1,CO,503.0,515.0
C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,CCCCCCC,360.0,382.0
C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,C1COCCO1,356.0,436.0
C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,CC#N,350.0,492.0
C(/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)=C\c1ccncc1,CO,353.0,496.0
CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,CCCCCCC,383.0,446.0
CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,C1COCCO1,392.0,488.0
CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,CC#N,392.0,540.0
CN(C)c1ccc(/C=C/C=C/c2ccncc2)cc1,CO,394.0,551.0
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,CCCCCCC,393.0,472.0
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,C1COCCO1,395.0,481.0
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,CC#N,396.0,534.0
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,CO,399.0,540.0
C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,CCCCCCC,403.0,442.0
C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,C1COCCO1,413.0,518.0
C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,CC#N,413.0,569.0
C(/C=C/c1cc2c3c(c1)CCCN3CCC2)=C\c1ccncc1,CO,419.0,583.0
CC(=O)Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CCCCOCCCC,453.0,471.0
Clc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCCCOCCCC,443.0,475.0
COc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCCCOCCCC,443.0,477.0
COc1nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)nc(OC)n1,CCCCOCCCC,442.0,477.0
Clc1nc(Nc2ccccc2)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCCCOCCCC,443.0,476.0
c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4c5cccc6cccc(c7cccc3c74)c65)n2)cc1,CCCCOCCCC,444.0,486.0
CC(=O)Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,C1COCCO1,447.0,471.0
Clc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,C1COCCO1,446.0,472.0
COc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,C1COCCO1,443.0,479.0
COc1nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)nc(OC)n1,C1COCCO1,443.0,478.0
Clc1nc(Nc2ccccc2)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,C1COCCO1,444.0,478.0
c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4c5cccc6cccc(c7cccc3c74)c65)n2)cc1,C1COCCO1,444.0,487.0
CC(=O)Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CCOC(C)=O,451.0,471.0
Clc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCOC(C)=O,442.0,469.0
COc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCOC(C)=O,442.0,477.0
COc1nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)nc(OC)n1,CCOC(C)=O,441.0,477.0
Clc1nc(Nc2ccccc2)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CCOC(C)=O,442.0,475.0
c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4c5cccc6cccc(c7cccc3c74)c65)n2)cc1,CCOC(C)=O,443.0,488.0
CC(=O)Nc1ccc2c3cccc4cccc(c5cccc1c52)c43,CC#N,441.0,471.0
Clc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CC#N,443.0,475.0
COc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CC#N,444.0,482.0
COc1nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)nc(OC)n1,CC#N,444.0,479.0
Clc1nc(Nc2ccccc2)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,CC#N,442.0,477.0
c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccc4c5cccc6cccc(c7cccc3c74)c65)n2)cc1,CC#N,444.0,492.0
CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CS(C)=O,471.0,547.0
CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,CS(C)=O,480.0,557.0
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CS(C)=O,516.0,601.0
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(N2CCCCC2)cc1,CS(C)=O,540.0,603.0
CCOC(=O)CN1C(=O)C2=C(c3ccc(N4CCCCC4)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,CS(C)=O,541.0,654.0
CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccccc1,CC#N,464.0,538.0
CCOC(=O)CN1C(=O)C2=C(c3ccc(C#N)cc3)N(CC(=O)OCC)C(=O)C2=C1c1ccc(C#N)cc1,CC#N,473.0,549.0
